,0
1,1.0
2,0.36752136752136755
3,0.24786324786324787
4,0.2222222222222222
5,0.18803418803418803
6,0.16239316239316237
7,0.14529914529914534
8,0.1367521367521367
9,0.11965811965811968
12,0.11111111111111116
16,0.09401709401709402
19,0.07692307692307687
20,0.06837606837606836
21,0.05982905982905984
24,0.05128205128205132
30,0.042735042735042694
35,0.03418803418803418
37,0.02564102564102566
39,0.017094017094017144
45,0.008547008547008517
