,predicted,actual
Alachua,37.9041745255372,84.0
Baker,1.1185811717402063,11.0
Bay,16.103829511187705,19.0
Bradford,13.969693151887467,15.0
Brevard,26.89005560372465,35.0
Broward,173.72222426372193,181.0
Calhoun,10.57315738623471,0.0
Charlotte,10.365568739932327,15.0
Citrus,24.00967319008211,17.0
Clay,18.200694064174783,36.0
Collier,23.57426577569281,43.0
Columbia,8.707764097584844,9.0
DeSoto,2.293494872004197,1.0
Desoto,1.0,0.0
Dixie,7.348315034711779,0.0
Duval,76.25539837123516,91.0
Escambia,23.032549516796067,39.0
Flagler,9.223261471146659,19.0
Franklin,6.281406810761148,3.0
Gadsden,10.478835238925479,10.0
Gilchrist,3.843375182454172,1.0
Glades,3.241879293567845,0.0
Gulf,3.2346709163328784,1.0
Hamilton,2.756679171370444,12.0
Hardee,4.801485178615154,16.0
Hendry,4.727269711025018,0.0
Hernando,25.957176942175302,24.0
Highlands,21.313799559666474,21.0
Hillsborough,109.54776824634651,164.0
Holmes,4.683289472495322,9.0
Indian River,4.908082318338478,8.0
Jackson,11.343893725042976,4.0
Jefferson,0.8433739298994914,5.0
Lafayette,67.54454454859233,1.0
Lake,44.32389637718389,33.0
Lee,43.36776521321924,35.0
Leon,48.49005254249175,229.0
Levy,13.168782102998158,6.0
Liberty,0.41179427135502267,2.0
Madison,6.73577131260647,15.0
Manatee,28.215471334051266,23.0
Marion,53.987920875847415,65.0
Martin,10.054343836957134,3.0
Miami-Dade,553.3976051565927,345.0
Monroe,2.6463111735141016,6.0
Nassau,32.351272350108005,22.0
Okaloosa,13.407439889486788,21.0
Okeechobee,8.037657330389264,4.0
Orange,101.30916688618262,108.0
Osceola,28.30806138532729,45.0
Palm Beach,104.54297829767935,162.0
Pasco,24.63004449570052,49.0
Pinellas,47.493118689670176,70.0
Polk,70.97612648571435,106.0
Putnam,11.380041105387956,14.0
Santa Rosa,13.78226085980285,45.0
Sarasota,26.728246370929543,32.0
Seminole,20.19758955367425,36.0
St. Johns,15.424478789017202,47.0
St. Lucie,33.4906800614341,36.0
Sumter,30.10422404226618,21.0
Suwannee,12.938179840289498,6.0
Taylor,4.0114692927426026,3.0
Unassigned,9.702594408001586,8.0
Union,13.533057664689915,10.0
Volusia,35.26859153021824,37.0
Wakulla,7.459141655802512,7.0
Walton,6.149146735575323,18.0
Washington,1.6709280448328512,2.0
