,predicted,actual
Alachua,481.02320335206366,55.0
Baker,3.458074633970525,11.0
Bay,38.310404817538036,86.0
Bradford,8.912272055300797,3.0
Brevard,590.5845732389943,132.0
Broward,1311.7054803198093,1772.0
Calhoun,1.476990827067057,22.0
Charlotte,25.272284466745944,43.0
Citrus,62.314652802416816,23.0
Clay,27.658882471825407,105.0
Collier,215.92662521130367,252.0
Columbia,6.8448059917881015,13.0
DeSoto,36.582156620644305,1.0
Desoto,1.0,0.0
Dixie,0.808244561322588,2.0
Duval,4138.8821341223775,577.0
Escambia,172.877887791312,484.0
Flagler,15.444238645480723,20.0
Franklin,1.2272393129622943,2.0
Gadsden,2.726553528582974,14.0
Gilchrist,2.702240493867306,1.0
Glades,4.728170816267449,3.0
Gulf,2.0552456615507246,2.0
Hamilton,4.39367515584405,8.0
Hardee,33.30203136987593,6.0
Hendry,32.56866304707722,33.0
Hernando,135.15783259165633,43.0
Highlands,12.113952707937239,15.0
Hillsborough,2840.3160211768204,790.0
Holmes,15.612016202175633,2.0
Indian River,219.59492776484814,27.0
Jackson,4.289483407108339,6.0
Jefferson,2.198319032935379,1.0
Lafayette,1.9333817953421122,0.0
Lake,452.14912247753057,123.0
Lee,393.3635404000781,1275.0
Leon,168.6767462059609,102.0
Levy,6.5206246162779955,8.0
Liberty,1.0406771643222814,1.0
Madison,33.00894699513701,15.0
Manatee,452.62412901384255,480.0
Marion,77.78790072976807,86.0
Martin,152.60653372649676,54.0
Miami-Dade,4122.054389583039,3576.0
Monroe,19.1408817565348,28.0
Nassau,27.118901689037855,42.0
Okaloosa,46.266676146709,155.0
Okeechobee,26.446032556549646,9.0
Orange,4385.746493146221,1371.0
Osceola,597.0280235036247,306.0
Palm Beach,759.942368851672,1171.0
Pasco,1218.3555803292652,127.0
Pinellas,2030.5234620984581,248.0
Polk,910.5588571751715,263.0
Putnam,26.61995861833869,43.0
Santa Rosa,23.248705040460262,189.0
Sarasota,299.9164501053877,465.0
Seminole,1670.630881789577,146.0
St. Johns,495.04795435927207,55.0
St. Lucie,145.95370767011676,123.0
Sumter,15.455632696187728,33.0
Suwannee,127.38738843106073,11.0
Taylor,2.455271969307895,6.0
Unassigned,3.5116769264855936,18.0
Union,2.623859367135311,5.0
Volusia,478.41864788345293,171.0
Wakulla,4.248865628958258,6.0
Walton,5.646319945083746,23.0
Washington,1.8063055508845833,12.0
