state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
OR,3/16/2020,304.4093023,272.3965333,336.4220713,0.1,0.08919980961,0.1108001904,,,
PA,3/16/2020,67.69165247,51.70347891,83.67982603,0.002267573696,0.001723962008,0.002811185385,,,
PR,3/16/2020,64.43067847,49.01699186,79.84436507,0.009389671362,0.007071428868,0.01170791385,,,
RI,3/16/2020,93.54,75.24764728,111.8323527,0.03797468354,0.03030242481,0.04564694228,,,
SC,3/16/2020,0,0,0,0,0,0,,,
TN,3/16/2020,308.8888889,274.9594844,342.8182934,0.02352941176,0.02092801772,0.02613080581,,,
TX,3/16/2020,4348.920052,4229.076165,4468.763939,0.06740681998,0.06539173981,0.06942190016,,,
UT,3/16/2020,0,0,0,0,0,0,,,
VA,3/16/2020,0,0,0,0,0,0,,,
WA,3/16/2020,1147.833795,1084.99489,1210.6727,0.07881773399,0.07437906208,0.0832564059,,,
WI,3/16/2020,446.3219814,406.883199,485.7607638,0.0547112462,0.04967357588,0.05974891652,,,
WV,3/16/2020,0,0,0,0,0,0,,,
WY,3/16/2020,0,0,0,0,0,0,,,
CW,3/16/2020,28605.32648,28283.93428,28926.71868,0.03886729595,0.03842077227,0.03931381963,,,
AL,3/17/2020,0,0,0,0,0,0,,,
AR,3/17/2020,120.3950178,99.26761593,141.5224197,0.01023890785,0.008396227259,0.01208158844,,,
CA,3/17/2020,1174.788863,1108.490352,1241.087374,0.02105263158,0.01985843973,0.02224682342,,,
CO,3/17/2020,0,0,0,0,0,0,,,
FL,3/17/2020,2492.04,2395.511516,2588.568484,0.02631578947,0.02529604541,0.02733553354,,,
GA,3/17/2020,1579.189258,1504.786034,1653.592482,0.07161803714,0.06818507119,0.07505100308,,,
GU,3/17/2020,10.90566038,6.658553482,15.15276727,0.04285714286,0.005753296903,0.07996098881,,,
HI,3/17/2020,45.19666269,34.52724097,55.86608441,0.01867995019,0.0120797418,0.02528015857,,,
IA,3/17/2020,0,0,0,0,0,0,,,
ID,3/17/2020,218.0625,190.1947219,245.9302781,0.06,0.05222520577,0.06777479423,,,
IL,3/17/2020,931.2926829,871.864007,990.7213588,0.01176470588,0.0110131565,0.01251625527,,,
IN,3/17/2020,413.5645161,374.4642858,452.6647464,0.02114803625,0.01911418171,0.0231818908,,,
KS,3/17/2020,27.23797468,17.40831708,37.06763229,0.003424657534,0.002090825823,0.004758489246,,,
KY,3/17/2020,0,0,0,0,0,0,,,
LA,3/17/2020,1571.995338,1498.627112,1645.363564,0.08656036446,0.0824203386,0.09070039033,,,
MD,3/17/2020,0,0,0,0,0,0,,,
ME,3/17/2020,40.28070175,28.2402201,52.32118341,0.01418439716,0.009722959257,0.01864583507,,,
MI,3/17/2020,817.5877863,762.9974233,872.1781492,0.04651162791,0.04339077642,0.04963247939,,,
MN,3/17/2020,0,0,0,0,0,0,,,
MO,3/17/2020,128.5334646,106.6417354,150.4251937,0.00622406639,0.005138654017,0.007309478763,,,
MS,3/17/2020,108.8908297,88.75303451,129.0286249,0.01242236025,0.01008203838,0.01476268212,,,
MT,3/17/2020,0,0,0,0,0,0,,,
NC,3/17/2020,403.45,365.0003201,441.8996799,0.02684563758,0.02423543106,0.02945584411,,,
ND,3/17/2020,43.88732394,31.16468709,56.6099608,0.01754385965,0.01233942778,0.02274829151,,,
NE,3/17/2020,0,0,0,0,0,0,,,
NM,3/17/2020,134.6285714,112.4484443,156.8086986,0.04166666667,0.03475069088,0.04858264245,,,
NY,3/17/2020,3005.678459,2903.697637,3107.659282,0.05923183711,0.05713274524,0.06133092898,,,
OH,3/17/2020,498.7026515,456.0379048,541.3673982,0.02443609023,0.02228959258,0.02658258787,,,
OK,3/17/2020,405.1820331,367.0843298,443.2797363,0.03661971831,0.03306237237,0.04017706424,,,
OR,3/17/2020,228.3069767,200.1337429,256.4802106,0.07058823529,0.06164250228,0.07953396831,,,
PA,3/17/2020,0,0,0,0,0,0,,,
PR,3/17/2020,0,0,0,0,0,0,,,
RI,3/17/2020,124.72,103.7372324,145.7027676,0.05063291139,0.04183222705,0.05943359573,,,
SC,3/17/2020,0,0,0,0,0,0,,,
TX,3/17/2020,4484.340986,4362.816172,4605.865799,0.0697029703,0.06765312966,0.07175281093,,,
VA,3/17/2020,0,0,0,0,0,0,,,
VT,3/17/2020,0,0,0,0,0,0,,,
WA,3/17/2020,1273.672131,1207.350875,1339.993388,0.07936507937,0.0751327808,0.08359737793,,,
WI,3/17/2020,421.5263158,383.1371381,459.9154934,0.05167173252,0.04676813233,0.05657533271,,,
WV,3/17/2020,0,0,0,0,0,0,,,
WY,3/17/2020,0,0,0,0,0,0,,,
CW,3/17/2020,33255.64299,32909.85975,33601.42622,0.04412138141,0.04365282697,0.04458993585,,,
AL,3/18/2020,0,0,0,0,0,0,,,
AR,3/18/2020,120.3950178,99.26761593,141.5224197,0.01023890785,0.008396227259,0.01208158844,,,
CA,3/18/2020,1842.978161,1760.29485,1925.661471,0.02432778489,0.02322497465,0.02543059513,,,
CT,3/18/2020,600.7375,555.6528013,645.8221987,0.1028037383,0.09494452034,0.1106629563,,,
FL,3/18/2020,4029.41791,3909.991862,4148.843959,0.07262569832,0.0704591995,0.07479219715,,,
GA,3/18/2020,2631.982097,2538.430512,2725.533682,0.1193633952,0.1150469236,0.1236798668,,,
GU,3/18/2020,7.270440252,3.776909123,10.76397138,0.02857142857,-0.001948980741,0.05909183788,,,
HI,3/18/2020,24.10488677,16.27851091,31.93126263,0.0099626401,0.005121167627,0.01480411257,,,
IA,3/18/2020,140.164557,117.1674698,163.1616441,0.01075268817,0.008975795315,0.01252958103,,,
ID,3/18/2020,0,0,0,0,0,0,,,
IL,3/18/2020,1862.585366,1779.042291,1946.128441,0.02352941176,0.02247290587,0.02458591766,,,
IN,3/18/2020,649.8870968,601.1758638,698.5983297,0.0332326284,0.03069884377,0.03576641302,,,
KS,3/18/2020,105.609816,86.37328951,124.8463424,0.01315789474,0.01056479293,0.01575099654,,,
KY,3/18/2020,46.85269122,33.59787428,60.10750816,0.002597402597,0.001846561261,0.003348243934,,,
LA,3/18/2020,1530.62704,1458.140408,1603.113672,0.08428246014,0.0801921809,0.08837273938,,,
MD,3/18/2020,0,0,0,0,0,0,,,
ME,3/18/2020,60.42105263,45.72767525,75.11443001,0.02127659574,0.01583216315,0.02672102834,,,
MI,3/18/2020,817.5877863,762.9974233,872.1781492,0.04651162791,0.04339077642,0.04963247939,,,
MN,3/18/2020,379.4418605,341.9358923,416.9478286,0.02985074627,0.02688451158,0.03281698096,,,
MO,3/18/2020,85.08600469,67.58365394,102.5883554,0.004310344828,0.003368342947,0.005252346708,,,
MS,3/18/2020,0,0,0,0,0,0,,,
MT,3/18/2020,0,0,0,0,0,0,,,
NC,3/18/2020,756.46875,704.4586627,808.4788373,0.05033557047,0.04680479805,0.05386634289,,,
ND,3/18/2020,87.77464789,69.95528659,105.5940092,0.03636363636,0.02880922734,0.04391804539,,,
NE,3/18/2020,0,0,0,0,0,0,,,
NM,3/18/2020,134.6285714,112.4484443,156.8086986,0.04166666667,0.03475069088,0.04858264245,,,
NY,3/18/2020,4085.844156,3968.295303,4203.393008,0.08051827857,0.0780987468,0.08293781035,,,
OH,3/18/2020,767.2348485,714.7892287,819.6804683,0.03536067893,0.03286212644,0.03785923141,,,
OK,3/18/2020,342.8463357,307.699225,377.9934464,0.03098591549,0.02770407904,0.03426775195,,,
OR,3/18/2020,152.2046512,128.8861062,175.5231961,0.04494382022,0.03787235193,0.05201528852,,,
PA,3/18/2020,0,0,0,0,0,0,,,
PR,3/18/2020,0,0,0,0,0,0,,,
RI,3/18/2020,124.72,103.7372324,145.7027676,0.05063291139,0.04183222705,0.05943359573,,,
SC,3/18/2020,0,0,0,0,0,0,,,
TN,3/18/2020,3353.935484,3245.690902,3462.180066,0.08461538462,0.08186648477,0.08736428446,,,
TX,3/18/2020,4498.80759,4377.251854,4620.363326,0.0700096432,0.06795198614,0.07206730026,,,
VA,3/18/2020,105.2914286,85.36250301,125.2203541,0.008695652174,0.007034010299,0.01035729405,,,
VT,3/18/2020,0,0,0,0,0,0,,,
WA,3/18/2020,1231.216393,1165.916239,1296.516548,0.07671957672,0.0725524399,0.08088671354,,,
WI,3/18/2020,421.5263158,383.1371381,459.9154934,0.05167173252,0.04676813233,0.05657533271,,,
WV,3/18/2020,0,0,0,0,0,0,,,
WY,3/18/2020,0,0,0,0,0,0,,,
CW,3/18/2020,36761.15543,36398.81864,37123.49223,0.04807154835,0.04758638038,0.04855671632,,,
AL,3/19/2020,208.3372093,180.3142148,236.3602038,0.01408450704,0.01218089281,0.01598812128,,,
AR,3/19/2020,160.5266904,136.1729662,184.8804146,0.01365187713,0.01152780455,0.01577594971,,,
CA,3/19/2020,2327.972414,2235.269824,2420.675004,0.02905569007,0.02788660588,0.03022477427,,,
CT,3/19/2020,321.3977011,288.0155034,354.7798989,0.05015673981,0.04467424207,0.05563923756,,,
FL,3/19/2020,3409.507463,3298.991674,3520.023251,0.06145251397,0.05944765549,0.06345737244,,,
GA,3/19/2020,3275.355499,3172.737774,3377.973223,0.1485411141,0.1438063306,0.1532758975,,,
GU,3/19/2020,10.90566038,6.658553482,15.15276727,0.04285714286,0.005753296903,0.07996098881,,,
HI,3/19/2020,30.13110846,21.39196766,38.87024927,0.01245330012,0.00704718235,0.0178594179,,,
IA,3/19/2020,0,0,0,0,0,0,,,
IL,3/19/2020,931.2926829,871.864007,990.7213588,0.01176470588,0.0110131565,0.01251625527,,,
IN,3/19/2020,768.0483871,715.2594368,820.8373374,0.03927492447,0.03652903153,0.04202081741,,,
KS,3/19/2020,90.62936221,72.80241512,108.4563093,0.01080246914,0.008499748648,0.01310518962,,,
KY,3/19/2020,120.4296117,99.26344903,141.5957743,0.006896551724,0.005653479101,0.008139624347,,,
LA,3/19/2020,2332.462857,2246.925769,2417.999946,0.1411042945,0.1356612944,0.1465472946,,,
MD,3/19/2020,0,0,0,0,0,0,,,
ME,3/19/2020,140.9824561,118.865626,163.0992862,0.04964539007,0.0414502973,0.05784048284,,,
MI,3/19/2020,1021.984733,961.324151,1082.645315,0.05813953488,0.05467165783,0.06160741193,,,
MN,3/19/2020,379.4418605,341.9358923,416.9478286,0.02985074627,0.02688451158,0.03281698096,,,
MO,3/19/2020,343.2328386,308.142106,378.3235712,0.0174717369,0.01559241644,0.01935105735,,,
MS,3/19/2020,167.3557047,142.4273851,192.2840243,0.02173913043,0.01846183201,0.02501642886,,,
MT,3/19/2020,0,0,0,0,0,0,,,
NC,3/19/2020,756.46875,704.4586627,808.4788373,0.05033557047,0.04680479805,0.05386634289,,,
ND,3/19/2020,87.77464789,69.95528659,105.5940092,0.03636363636,0.02880922734,0.04391804539,,,
NE,3/19/2020,0,0,0,0,0,0,,,
NM,3/19/2020,134.6285714,112.4484443,156.8086986,0.04166666667,0.03475069088,0.04858264245,,,
NY,3/19/2020,5072.0824,4942.471191,5201.69361,0.09949332105,0.09683779574,0.1021488464,,,
OH,3/19/2020,491.030303,448.7978755,533.2627306,0.02263083451,0.02061884691,0.02464282211,,,
OK,3/19/2020,350.4948875,315.0717221,385.9180529,0.03217821782,0.02880082049,0.03555561515,,,
