,predicted,actual
Alachua,13.493226622971628,91.0
Baker,0.915491156267225,4.0
Bay,4.265665705107553,17.0
Bradford,0.9560366854125633,2.0
Brevard,12.738144114721544,84.0
Broward,305.05807345311945,574.0
Calhoun,1.195043379688651,0.0
Charlotte,4.863273597737435,27.0
Citrus,2.4595617898500395,13.0
Clay,4.227417341164083,43.0
Collier,145.65888245439746,121.0
Columbia,3.711896556501298,8.0
DeSoto,25.44929596795348,11.0
Desoto,1.0,0.0
Dixie,0.8731394057677436,0.0
Duval,61.34870827447647,740.0
Escambia,13.88705125421827,49.0
Flagler,2.0815423763283096,14.0
Franklin,1.181890169961859,0.0
Gadsden,1.5419025363614882,8.0
Gilchrist,1.7000118941663376,3.0
Glades,6.443167651967792,3.0
Gulf,1.610967108008464,0.0
Hamilton,2.5918017360879295,3.0
Hardee,13.184683279696507,8.0
Hendry,28.613682739134944,28.0
Hernando,3.407305352595266,34.0
Highlands,3.9338583713040243,0.0
Hillsborough,342.8684608093248,788.0
Holmes,1.2103298851861706,0.0
Indian River,14.217197931668696,35.0
Jackson,5.686157556367008,6.0
Jefferson,1.1550866495753795,2.0
Lafayette,1.1143662414979445,0.0
Lake,20.409803673584396,94.0
Lee,127.72123171922868,232.0
Leon,3.2903524835345164,176.0
Levy,6.0403964715683935,3.0
Liberty,1.0226893034653795,0.0
Madison,1.2599739471358204,8.0
Manatee,30.801407692069166,95.0
Marion,5.092689879277497,33.0
Martin,97.3289417631485,60.0
Miami-Dade,668.5092929329655,2152.0
Monroe,1.748272110636293,15.0
Nassau,2.156156479566358,11.0
Okaloosa,19.03763957615502,38.0
Okeechobee,15.078691736197893,10.0
Orange,335.67221424160914,834.0
Osceola,9.414536519377604,184.0
Palm Beach,490.329349449825,461.0
Pasco,18.931531623989557,150.0
Pinellas,369.6209413401043,307.0
Polk,65.12394365934894,313.0
Putnam,3.1448885964883053,21.0
Santa Rosa,3.8144805961521704,26.0
Sarasota,11.151122903555981,60.0
Seminole,163.49233030367375,164.0
St. Johns,5.481115828219912,81.0
St. Lucie,75.30112056615397,76.0
Sumter,0.818211796469568,8.0
Suwannee,3.0924518074814635,40.0
Taylor,3.4594086854785107,1.0
Unassigned,1.07874517301173,4.0
Union,1.4766154422680018,3.0
Volusia,15.889286999722911,188.0
Wakulla,0.9443374061429142,7.0
Walton,4.227927104398697,1.0
Washington,3.0471944487580376,4.0
