,predicted,actual
Alachua,95.68922949199087,54.0
Baker,27.94578831377773,80.0
Bay,339.7104256772182,52.0
Bradford,13.523130716761766,25.0
Brevard,80.79313581884396,101.0
Broward,1144.0377262835843,654.0
Calhoun,12.348594870964895,13.0
Charlotte,66.00695731113991,24.0
Citrus,84.06408123731369,25.0
Clay,166.45441113913543,37.0
Collier,107.86891431320066,69.0
Columbia,415.5323583706817,38.0
DeSoto,15.454770136737391,12.0
Desoto,1.0,0.0
Dixie,28.17992405202495,72.0
Duval,436.79043692500983,271.0
Escambia,248.0699655441697,211.0
Flagler,66.25572879879876,18.0
Franklin,7.61697385091532,20.0
Gadsden,125.04654193936477,18.0
Gilchrist,21.841348448937683,8.0
Glades,6.585941506580537,0.0
Gulf,19.274262550279936,49.0
Hamilton,10.448732100544417,1.0
Hardee,9.348543099818443,13.0
Hendry,28.679844697540304,12.0
Hernando,65.37794122483403,47.0
Highlands,86.46302018922489,39.0
Hillsborough,336.14442861912846,319.0
Holmes,10.480348688626625,11.0
Indian River,77.53979598776061,35.0
Jackson,167.8862228759851,0.0
Jefferson,9.26938320417789,5.0
Lafayette,2.684862538657953,12.0
Lake,148.80851606652305,88.0
Lee,188.67747100542286,98.0
Leon,183.41506080595852,43.0
Levy,23.60623022080369,11.0
Liberty,11.266666799563746,0.0
Madison,21.21132938951158,0.0
Manatee,251.56959643911654,89.0
Marion,399.9545457825796,251.0
Martin,48.237768927156374,23.0
Miami-Dade,3897.0638683616376,1244.0
Monroe,57.59647930356292,12.0
Nassau,38.755216804144126,14.0
Okaloosa,185.319449500325,54.0
Okeechobee,27.401247086013118,12.0
Orange,643.8887986573106,324.0
Osceola,375.17636813014855,128.0
Palm Beach,758.2833678526647,420.0
Pasco,122.60976958302979,98.0
Pinellas,156.11126393217975,154.0
Polk,239.70409603746555,177.0
Putnam,56.1653493567326,27.0
Santa Rosa,252.56059809342622,82.0
Sarasota,149.60824260071112,67.0
Seminole,89.94828246690956,70.0
St. Johns,94.68777161535178,42.0
St. Lucie,168.2621933534347,77.0
Sumter,32.30569287238568,19.0
Suwannee,22.814419071080824,50.0
Taylor,21.1351083056321,14.0
Unassigned,25.183345043192592,17.0
Union,16.575565020581966,13.0
Volusia,131.38698414204467,97.0
Wakulla,136.17641284827906,12.0
Walton,113.21508375100048,25.0
Washington,70.09012367965668,28.0
