,predicted,actual
Alachua,237.62345671746647,94.0
Baker,30.719180069387622,15.0
Bay,331.38596225830804,110.0
Bradford,8.579920712142108,5.0
Brevard,183.43913276773617,68.0
Broward,4257.853797090222,1163.0
Calhoun,12.27657511488165,7.0
Charlotte,96.89063239106693,23.0
Citrus,75.93762466337108,27.0
Clay,467.695967760314,65.0
Collier,275.1844170908328,70.0
Columbia,33.722105801346785,48.0
DeSoto,15.160849728341232,8.0
Desoto,1.0,0.0
Dixie,6.337640933592116,5.0
Duval,2402.5327111029164,465.0
Escambia,979.7531390179053,164.0
Flagler,52.012010666321295,22.0
Franklin,5.493242202908173,3.0
Gadsden,26.18000342123981,46.0
Gilchrist,3.919201784784256,5.0
Glades,3.5152810146957925,1.0
Gulf,10.424745564070557,0.0
Hamilton,7.600094681267986,4.0
Hardee,8.447256113842569,5.0
Hendry,31.736585462955233,17.0
Hernando,323.1265924118639,36.0
Highlands,12.954113380052824,21.0
Hillsborough,1005.3117990342353,451.0
Holmes,4.462502698323564,4.0
Indian River,63.02866054748207,33.0
Jackson,20.23712649638549,46.0
Jefferson,4.197691197435764,5.0
Lafayette,2.133170797468643,1.0
Lake,248.3096895356396,102.0
Lee,1032.0372558028728,123.0
Leon,690.3941712706935,104.0
Levy,10.580619951889544,13.0
Liberty,7.152080481288348,3.0
Madison,48.50540167253897,7.0
Manatee,673.2491552334776,150.0
Marion,305.8041942431976,202.0
Martin,122.2024762088885,32.0
Miami-Dade,8531.084813409545,2901.0
Monroe,117.61594661081028,12.0
Nassau,173.3598414460296,22.0
Okaloosa,136.02573275188763,93.0
Okeechobee,29.195284606188128,10.0
Orange,699.9685416985441,421.0
Osceola,536.8818364666714,207.0
Palm Beach,1284.6626555656437,618.0
Pasco,279.11271350910346,129.0
Pinellas,358.9634836314515,162.0
Polk,586.0932413897094,226.0
Putnam,143.31038608407644,19.0
Santa Rosa,261.2017797840357,142.0
Sarasota,568.2478476222842,97.0
Seminole,158.20017721942352,65.0
St. Johns,287.5321505576873,58.0
St. Lucie,196.35020963613314,85.0
Sumter,156.04660761144856,24.0
Suwannee,112.6139986298341,20.0
Taylor,7.373923618130556,9.0
Unassigned,21.47992930964992,27.0
Union,12.215046140895286,29.0
Volusia,395.9491319199291,107.0
Wakulla,20.518600199901236,30.0
Walton,59.26996805479307,41.0
Washington,3.6523396732354043,18.0
