,r2_value,Principle Components
0,0.4368993791543381,PCA0
1,0.00010849386556768,PCA1
2,0.03783697030793024,PCA2
3,0.014322994857706975,PCA3
4,1.6748206104904563e-05,PCA4
5,0.14438111776572496,PCA5
6,0.013312742677639626,PCA6
7,0.00035230647414115953,PCA7
8,0.00915094892668025,PCA8
9,0.0009742326600689121,PCA9
10,0.001180426654719245,PCA10
