AreaSorted column (descending) - Apply ascending sort.,CasesUnsorted column - Apply ascending sort.,"Rate per 100,000 populationUnsorted column - Apply ascending sort."
Wales,"87,077","2,761.80"
Scotland,"99,463","1,820.60"
Northern Ireland,"54,628","2,884.80"
England,"14,64,803","2,602.40"
