code,population,dPOP,dHHS,1,2,3,4,5,6,7,8,households,d_general,0-29,30-59,60-89,6+,logPOP,d1,d2,d3,d4-d5,d6+,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA,PCR,error,perror,Actual,Predicted
E06000001,93663.0,-0.06809765285125813,-1.0649803953444368,13392.0,13478.0,6629.0,4759.0,1526.0,469.0,107.0,74.0,40434.0,36.30035339461687,-0.20230442166724674,-0.37419965503696545,0.3632109201977738,650.0,-1.309801529330394,0.6060705588049607,-0.07850614380763184,0.5177329549848994,-0.7444267830446007,-0.5374205755617042,1.1233532617323654,0.8024061438576523,-1.07191398507467,0.6164325471449575,-0.9498425773672712,0.3930641354500789,-0.2406588618656504,-0.007089519115385141,0.3197998342194954,-0.009664678281074812,1.184727476221237e-14,3.7987668242708343,39.097889622348966,-2.7975362277320954,-7.199999999999999,36.30035339461687,38.925982122715325
E06000002,140980.0,0.628083956214515,-0.35115986641232366,17708.0,18554.0,9221.0,7220.0,2992.0,1084.0,239.0,185.0,57203.0,63.12952191800255,1.0958869206839195,-1.1603283749835076,-0.2558572456785634,1508.0,-0.7925806489934923,0.055601409189771876,-0.3352176389641903,0.32065590396853044,0.10057279453110973,0.15656195004593979,-0.47229160484978205,0.5750481686188161,0.2639182237178418,1.1465715374817134,-1.3714533112399039,0.12472219914199849,0.32863294852031516,-0.13367860116110183,-0.22577810198817383,0.019618968340616327,-3.9084223422204364e-14,-3.9967843879542455,31.097992881151615,32.03152903685094,103.0,63.12952191800255,34.08245806581201
E06000003,137150.0,-0.45392838786331396,-1.13948879596017,18735.0,21165.0,9738.0,7119.0,2132.0,557.0,117.0,42.0,59605.0,34.998177178271966,-0.7215437568242603,-0.758580078402209,0.9775725836359985,716.0,-0.8274185198373593,0.17654679655893596,0.5434050765875963,0.47681460934569525,-0.7529703432407618,-0.8115388665033352,2.0852028746336386,0.0014510679354727274,-0.7010773251342193,0.39118953737539874,-0.8382326262064821,0.4332020139274766,-0.2537505348919038,-0.20613843510854607,0.17435961947321155,0.0008302146416879763,-6.664919261020415e-15,-1.4483482349161223,33.713231434631666,1.2849457436403,3.8,34.998177178271966,33.83516375213225
E06000004,197348.0,-0.078473585310979,-0.21379669531175835,21986.0,27938.0,13583.0,10704.0,3700.0,925.0,203.0,120.0,79159.0,17.735168332083425,-0.1711957856632625,0.010912481934280962,0.16072556082364628,1248.0,-0.3671434462068968,-0.7537235101370569,0.4818715885032403,1.0659493547417669,0.22652608768708546,-0.5583238709698383,0.2978084354202106,-1.0504745463959486,-0.763133641774046,-0.03074779349120468,-0.8225017127254831,-0.21845943228728198,0.03984249649224633,-0.1956567530205206,0.042867152438929794,0.007939231137506747,-1.7311088664990694e-14,-0.4292395165726088,34.75905414720866,-17.023885815125233,-49.0,17.735168332083425,34.062857108780946
E06000005,106803.0,-0.4719873543553473,-1.1997754906834661,15101.0,16657.0,7191.0,5352.0,1717.0,507.0,98.0,47.0,46670.0,23.40758218402105,-0.5991650741875393,-0.08021341814113446,0.5172715294512535,652.0,-1.143746899607111,0.41183228689097706,0.5955083052930187,-0.18961413647325018,-0.8897798371960555,-0.6794428504490784,1.9042078740889181,0.6777428236926173,-1.0023436685598808,0.3048485617556059,-0.25634488957156576,0.017722185870051727,0.15403761326373427,-0.054661662218069194,0.3756936320755181,-0.008769840054100031,1.0868900917833432e-14,-6.428181910530214,28.602860902939785,-5.195278718918736,-18.2,23.40758218402105,27.975932006832036
E06000006,129410.0,0.28279326739497085,-0.5301884081754864,15833.0,17938.0,9272.0,7130.0,2289.0,663.0,128.0,59.0,53312.0,43.27331736341859,-0.13733188816116235,-0.09656517015129423,0.2164591167783483,850.0,-0.9008938072045178,-0.26428487970408376,0.011224384565729533,1.2328998486516967,0.03302789604506378,-0.5463057770067843,0.23407419011934727,-0.38863215240506715,-1.181275573996212,0.2818264830511167,-1.160705482595758,0.22141218065312596,-0.14115279885171764,-0.19953753292903997,-0.004841386495554621,0.024270387359750317,-4.684319114373747e-14,7.325709937564366,42.7172848325527,0.5560325308658918,1.3,43.27331736341859,41.819169903673725
E06000007,210014.0,0.06604732574781784,-0.3408748043466766,24534.0,29885.0,14347.0,11868.0,3388.0,893.0,142.0,83.0,85140.0,24.28409534602455,-0.5228850506226151,0.5323170860550664,0.17587415621748795,1118.0,-0.28846202540720267,-0.48879591754519286,0.42683608576626114,0.8450423656412,0.1249200389292496,-0.736053270022665,0.41259119548493045,-0.7545868440286245,-1.1198740791312198,-0.4968676562966239,-0.4549995594245064,-0.11864363678510573,0.020058392751213044,-0.13827217432816,-0.05178241743702543,0.011164117080682268,-2.3569140155647657e-14,3.8983742869120035,39.200108104928155,-14.916012758903605,-38.1,24.28409534602455,37.14381236003626
E06000008,149696.0,0.003872397747579077,0.3501829115724321,17419.0,17082.0,8808.0,7307.0,3741.0,1957.0,595.0,444.0,57353.0,27.388841385207353,0.9947835552872836,-0.12958243664320587,-0.685572447718924,2996.0,-0.7167034185640703,-0.09315743502439539,-1.0931958710183767,-0.22594291453879695,0.6170653626580722,1.9022421747651488,-1.8921203602563599,0.3871246504376732,0.3856360122243241,1.5605552839970507,0.3962874432122564,0.39592134509848353,0.5232141901264659,0.19328380886917945,0.6537279453601542,0.02237779690444741,-4.38217480273764e-14,2.8931267061941086,38.16850987330212,-10.779668488094767,-28.199999999999996,27.388841385207353,42.04156348386415
E06000009,139446.0,0.9305083777990708,-1.787988989760878,24446.0,20833.0,9345.0,6399.0,2321.0,743.0,171.0,109.0,64367.0,30.119185921431953,-0.3664652483303847,-0.4521673841091672,0.5240083676095096,1023.0,-0.8064190090818032,1.8418147176912607,-0.3550570507706324,-0.8277224267463124,-1.4752789679502423,-0.5497221880945546,1.6201547237128113,2.7157418454562294,-0.558759744245244,-0.03847662875995063,-0.5275736060917651,1.1368104258925613,0.0038812085931442947,-0.2378322342214684,-0.259588930260117,0.0052315688284349515,-1.4738282916260038e-14,8.568412328613437,43.992562300147455,-13.873376378715502,-31.5,30.119185921431953,43.72021177448741
E06000010,259778.0,0.8419747607723165,-1.1096686961637632,39788.0,35562.0,17174.0,13273.0,4540.0,1660.0,365.0,234.0,112596.0,14.24293050219803,0.9938227216563107,-0.37110710327541935,-0.5702458064017943,2259.0,-0.019484997454251855,1.1697895894746624,-0.578685774821147,-0.301064187064974,-0.6432372400782526,-0.26842047010769227,-0.14596580961213126,1.9903720510316303,0.2727578159813578,-0.22923433834376455,-1.0949123735785344,0.39735513827101177,0.3479508812933358,0.28723324960918395,-0.023087418412730917,0.017783952201838094,-3.5996885069171916e-14,2.707466140128216,37.97798256907376,-23.73505206687573,-62.5,14.24293050219803,38.83140653175323
