name,code,All Ages,Age 0 - 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Aged 85+
Halton,E06000006,128983,"7,552","8,452","8,350","6,973","6,883","7,978","8,337","8,229","7,625","8,831","8,936","8,918","8,136","7,478","6,720","4,197","2,984","2,402"
Warrington,E06000007,210109,"11,671","13,062","12,601","11,164","10,551","12,712","13,541","13,849","12,897","15,156","16,169","15,061","12,067","10,715","10,834","7,862","5,610","4,591"
Cumbria,E10000006,499430,"23,552","26,413","26,955","24,799","23,792","26,842","25,991","26,902","25,674","33,422","38,918","39,129","35,195","32,820","33,097","23,414","16,805","15,718"
Bolton,E08000001,286195,"19,004","20,160","18,697","16,393","16,292","18,474","19,432","18,402","16,848","19,270","20,007","18,238","15,247","13,752","13,869","9,677","6,676","5,755"
Bury,E08000002,191014,"11,652","12,872","12,214","10,300","10,019","12,139","12,908","12,568","11,453","12,814","13,803","12,837","10,399","9,509","9,774","6,726","4,826","4,200"
Manchester,E08000003,551161,"37,296","36,618","32,466","35,521","67,638","64,919","51,276","41,373","31,050","28,792","28,669","24,454","19,773","15,781","13,071","9,159","6,952","6,354"
Oldham,E08000004,237112,"16,505","17,148","16,664","14,743","14,254","15,901","16,470","15,562","13,650","15,334","15,861","14,557","12,117","10,748","10,437","7,447","5,151","4,568"
Rochdale,E08000005,221726,"14,942","15,623","14,656","12,581","13,059","15,151","15,402","14,792","13,078","14,444","15,223","14,061","12,164","10,808","9,909","6,708","4,759","4,369"
Salford,E08000006,257790,"17,425","17,030","15,134","13,914","19,546","23,321","22,633","19,571","14,865","14,873","16,067","14,644","12,060","10,265","9,816","6,847","5,141","4,639"
Stockport,E08000007,292906,"17,292","18,659","17,999","14,756","13,327","17,015","18,562","19,552","18,489","19,940","21,351","20,114","17,164","15,327","15,460","11,107","8,566","8,232"
Tameside,E08000008,226420,"14,301","15,164","13,726","11,861","12,533","14,978","15,515","14,653","13,035","15,300","16,761","15,683","12,748","11,276","11,354","7,762","5,401","4,373"
Trafford,E08000009,237568,"14,406","16,809","16,688","12,847","10,373","12,720","15,000","17,402","17,078","17,337","17,093","15,862","12,781","10,818","10,456","7,668","6,017","6,209"
Wigan,E08000010,327508,"18,144","19,824","19,695","17,305","17,055","20,405","21,632","21,073","18,956","23,672","25,366","22,910","18,707","17,538","18,367","12,645","7,921","6,290"
Lancashire,E10000017,1216835,"66,151","73,338","72,176","67,899","75,016","75,306","71,422","70,415","66,201","79,798","87,609","85,242","73,547","68,154","69,985","48,322","34,605","31,654"
Knowsley,E08000011,150333,"10,088","9,745","9,045","8,076","8,998","10,642","10,350","9,004","7,637","9,298","10,437","11,267","9,809","7,895","6,474","4,498","3,761","3,312"
Liverpool,E08000012,498950,"29,612","28,148","24,869","30,599","52,580","46,499","39,371","33,846","27,117","27,648","29,457","29,861","25,687","21,761","18,928","13,067","10,588","9,310"
Sefton,E08000014,276116,"14,103","15,895","15,286","13,891","13,363","15,471","15,588","15,158","14,189","17,693","19,991","21,381","19,001","16,832","16,447","12,356","9,886","9,583"
St. Helens,E08000013,180871,"10,145","10,837","10,372","9,122","9,518","11,573","11,900","10,997","10,181","12,362","13,040","12,641","10,881","10,208","10,360","7,274","5,369","4,093"
Wirral,E08000015,323876,"17,587","19,805","19,326","16,989","15,663","18,427","19,126","18,837","18,111","21,142","23,501","23,838","20,678","19,302","18,777","13,416","9,678","9,678"
