name,code,All Ages,Age 0 - 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Aged 85+
Solihull,E08000029,216297,"12,282","13,988","13,681","11,594","10,987","12,494","12,454","12,812","12,463","14,693","15,927","15,090","12,187","11,342","12,081","8,806","6,634","6,784"
Walsall,E08000030,285494,"19,400","20,004","19,058","16,751","16,596","19,240","19,558","18,609","16,195","18,448","19,013","17,798","14,573","13,158","12,656","10,120","7,706","6,607"
Wolverhampton,E08000031,263997,"17,717","18,754","16,805","14,336","16,236","18,959","19,283","17,801","15,746","17,648","17,419","16,064","13,327","11,818","10,492","8,551","6,514","6,526"
Worcestershire,E10000034,596686,"31,013","34,640","34,197","30,323","30,335","34,146","33,617","34,625","33,904","40,485","44,429","42,002","36,947","36,477","37,087","26,004","18,278","18,177"
Bedford,E06000055,173200,"11,350","11,904","11,170","9,770","8,652","9,709","10,913","12,056","11,412","11,941","12,505","11,344","9,669","8,279","8,150","5,594","4,311","4,472"
Central Bedfordshire,E06000056,286935,"17,692","18,782","17,444","14,239","12,970","16,928","20,168","20,207","18,924","20,009","21,321","19,952","16,433","14,408","14,412","9,750","7,041","6,256"
Luton,E06000032,213651,"16,996","17,223","15,167","12,761","12,417","15,622","18,267","17,389","14,300","12,834","12,634","11,870","9,226","7,547","6,435","4,851","4,307","3,803"
Peterborough,E06000031,203478,"15,564","16,233","13,341","10,733","10,443","14,061","16,075","15,696","13,398","13,149","13,201","11,697","9,722","8,657","7,880","5,335","4,135","4,161"
Southend-on-Sea,E06000033,183702,"11,061","11,766","11,201","9,272","9,238","10,488","11,717","12,643","12,139","13,209","13,243","12,265","9,872","9,169","9,592","6,530","4,931","5,364"
Thurrock,E06000034,174600,"13,144","13,182","12,072","9,663","9,179","11,305","13,414","13,499","12,446","12,205","12,109","10,245","8,009","7,152","6,757","4,333","3,073","2,813"
Cambridgeshire,E10000003,654782,"36,674","40,347","38,366","37,191","43,145","40,388","40,118","41,367","41,055","45,034","46,496","43,085","36,357","33,397","34,265","23,185","17,040","17,275"
Essex,E10000012,1488292,"85,085","91,984","87,906","78,198","79,002","89,025","91,013","91,643","89,763","1,00,633","1,08,749","1,01,124","86,441","79,483","85,662","57,761","43,015","41,815"
