,loss
0,1548.632607167856
1,1544.3935045892792
2,1540.0536573112356
3,1535.6658095872472
4,1531.1216222509483
5,1526.5725669199333
6,1522.020842271044
7,1517.305016313674
8,1512.6867548771677
9,1507.8327460316564
10,1503.1262468106486
11,1498.2019498086388
12,1493.227818483562
13,1488.2670108155708
14,1483.189691620755
15,1477.8247881762554
16,1472.7264037380328
17,1467.3107839595375
18,1461.892309288069
19,1456.34131423862
20,1450.6645818280347
21,1445.077875214505
22,1439.2020538859285
23,1433.2168004030436
24,1427.1562619953486
25,1421.1079891844292
26,1414.8416726878613
27,1408.3853018876446
28,1401.915590142928
29,1395.412598714663
30,1388.4372579762012
31,1381.755420486362
32,1374.6915106800939
33,1367.49182270028
34,1360.12146983946
35,1352.6133292313946
36,1345.3198559711434
37,1337.4100214787302
38,1329.5832456026462
39,1321.4478505746479
40,1313.322978995439
41,1305.0033043657425
42,1296.3780267087022
43,1287.7622380780347
44,1278.5740995021224
45,1269.632384901102
46,1260.310119276102
47,1251.1890985566067
48,1241.3604507005284
49,1231.6598641279804
50,1221.9426385956692
51,1211.91185676707
52,1202.0478441536081
53,1191.3333606168715
54,1181.2315458617459
55,1170.554017877303
56,1159.728299003116
57,1148.9153745794572
58,1138.086025701093
59,1126.7267501919255
60,1115.5397548785788
61,1104.0078283761968
62,1092.6112561529083
63,1080.7780669989613
64,1069.1452396811778
65,1057.0346961930998
66,1045.2726137017928
67,1033.0240859544347
68,1020.9523022602059
69,1008.4853843733065
70,996.1424472345782
71,983.9618406791908
72,971.8523767724892
73,959.5084454310422
74,947.299121658237
75,934.4776427869851
76,922.1382273414921
77,909.8695953898347
78,897.6331007411715
79,885.0727761329254
80,872.6895335643967
81,860.7458111536985
82,848.6133004778383
83,836.0443411590047
84,824.2728260900244
85,812.169424068032
86,800.1008138491239
87,788.2158892857547
88,776.2311487804259
89,764.795731208228
90,753.0053231123555
91,741.4019479034953
92,729.430494010793
93,718.0726551210261
94,706.2136985470105
95,694.6529043561461
96,683.2315056420475
97,671.8583875005645
98,660.7606748018651
99,649.962347306268
100,638.9909477454389
101,628.1957146969834
102,617.7544852019735
103,606.5505681561597
104,596.6314600244423
105,586.4141692233223
106,575.8439994326906
107,566.5357539006052
108,556.6976150777299
109,546.8542944406498
110,536.9608231913837
111,527.4304601415733
112,518.0516928964956
113,508.4025076276305
114,499.0168111282966
115,490.23498746838874
116,480.8721996153021
117,472.131327722803
118,463.43201865488396
119,455.42510227798726
120,447.0403040185829
121,439.06649886114747
122,431.176257183097
123,423.2861735614049
124,415.77865706427247
125,408.1151313561235
126,400.9711282542675
127,393.7388160132259
128,386.9223149470511
129,379.9092842939961
130,373.4351967166614
131,366.5769889699241
132,360.3312620482693
133,353.80369541410766
134,347.75834858624233
135,341.55900758952765
136,335.61455893103096
137,330.04768662645637
138,324.3622614689645
139,318.86781055251987
140,313.53708820673774
141,308.1984503420791
142,303.23005738010295
143,297.97826513389634
144,293.5194864438448
145,288.51254219540283
146,284.27516818184387
147,279.7414591353753
148,275.6955741926425
149,271.59325042901014
150,267.62488428016616
151,264.0263272324049
152,260.1885371566508
153,256.62395834509346
154,253.4183993477353
155,249.7886779432352
156,246.53768462252754
157,243.47022172343523
158,240.48409264625153
159,237.5534619458149
160,234.74566313021444
161,232.00097069712731
162,229.50730657853143
163,227.11542193462395
164,224.40947180951952
165,222.15803113286896
166,219.7312988104848
167,217.34703491740143
168,215.1766133391099
169,213.0311299142121
170,210.8088129297157
171,208.92165485007226
172,206.9753355345974
173,205.14868587427745
174,203.37055281269758
175,201.648186259187
176,200.01448985193505
177,198.2911563939442
178,196.82880476582258
179,195.20332645129605
180,193.77312703215318
181,192.3938640969337
182,190.964042002066
183,189.68305572333364
184,188.4948756047067
185,187.33881479605085
186,186.11967825476145
187,185.06348657332404
188,184.0474833670379
189,183.0231218282887
190,182.13828652442535
191,181.14471153303379
192,180.35512181100128
193,179.338797861441
194,178.52611744610562
195,177.76798790727736
196,176.85397021343255
197,176.18232559468706
198,175.38999947784953
199,174.54927847978007
200,173.92979078347972
201,173.20146360011458
202,172.51662034933278
203,171.83095312394158
204,171.33035939828508
205,170.75117558826602
206,170.22496217937137
207,169.57808654432353
208,169.09824022943573
209,168.59447695340725
210,168.11058238476
211,167.56143894085307
212,167.07364473728776
213,166.6563488734251
214,166.2250237437342
215,165.79503031824365
216,165.36086171762102
217,164.92461862729465
218,164.49919437121792
219,164.11638628127258
220,163.66492369547055
221,163.2617113411082
222,162.8339954883377
223,162.51881192598728
224,161.9919159288351
225,161.69230819437544
226,161.3446365973853
227,160.99894493852736
228,160.73017936221436
229,160.38971352990652
230,160.06984962066474
231,159.83969539576182
232,159.5468811740765
233,159.23440666419233
234,158.9776049928169
235,158.63912882281176
236,158.3258978562548
237,158.06202574272376
238,157.7759380009822
239,157.51683732402117
240,157.2017195155855
241,156.89840989305793
242,156.6774131025193
243,156.38893171541952
244,156.13910035590905
245,155.84367026621206
246,155.66253062341943
247,155.36060152439714
248,155.14652975446228
249,154.90428091060218
250,154.66795190359127
251,154.437371270505
252,154.1879821071735
253,153.95277537086795
