,weights,PCs,std_err
0,-5.14585514844714,PCA0,1.26
1,-3.3856812628149595,PCA2,2.817
2,-2.3226432353818103,PCA3,3.141
3,12.459503854865186,PCA5,5.307
4,-6.950825793316222,PCA6,9.75
