index,PCA0,PCA2,PCA5,PCA6,PCA7,PCA8,PCA12
-1.0,-0.2998894767078571,-0.2228472416100221,0.05188271867188705,0.19896919207391917,-0.15734618003928147,0.08818102811210346,-0.049267245338518686
-0.95,-0.3010578476791377,-0.2133509890389809,0.04666816796931545,0.19090935278335533,-0.1485465294816647,0.08395476453130823,-0.04621669014943155
-0.9,-0.30202842534790697,-0.2032441000345855,0.04179458085302857,0.1826097338400562,-0.1397120941160954,0.07970712278729217,-0.043179179263326616
-0.85,-0.30265595596533185,-0.19256679453103104,0.0372634972754618,0.17407613271201386,-0.13086561088735502,0.07543810288005529,-0.04016359005306676
-0.8,-0.302762122097937,-0.18137043447130988,0.033074373723990885,0.1653147997944073,-0.12202945439847555,0.07114824832222182,-0.037179343404139135
-0.75,-0.3021288393052387,-0.16971589326933895,0.029223586781120765,0.15633252899503972,-0.11322618042336373,0.0668375591137918,-0.03423459200590762
-0.7,-0.30049739557808997,-0.15767283112646072,0.025705248393421976,0.14713593305083963,-0.10447970351748688,0.06250721286545109,-0.03133766971861083
-0.65,-0.2975624726998138,-0.1453206008858169,0.022508941235596235,0.13773262113854662,-0.09581257945475176,0.05815684723545021,-0.028497091573362155
-0.6,-0.2929743655894186,-0.1327467986653504,0.019621892760973474,0.12812893423877705,-0.08724817927800145,0.05378709632185078,-0.025721282015837597
-0.55,-0.2863441456715289,-0.1200441839529347,0.01702734466363906,0.11833293445545742,-0.07880987403007908,0.04939859422271444,-0.023018121979088896
-0.5,-0.27724963951525194,-0.1073116760461848,0.014706183416306574,0.10835132511095358,-0.07051904187420545,0.044991522108915945,-0.020394586541794036
-0.45,-0.26525911692605203,-0.09465064004952486,0.012634856805258159,0.09819171538200513,-0.06239751390078829,0.04056606115133004,-0.017858918978754273
-0.4,-0.24995751542987046,-0.08216515863050038,0.01078709505365466,0.08786207678710121,-0.054466849443923174,0.03612329837520525,-0.015417097928836443
-0.35,-0.2309861619874155,-0.06995750274790924,0.009133004967161873,0.07736992791754406,-0.04674643378720865,0.031663324365978934,-0.013076913739654916
-0.3,-0.20809341025365552,-0.058128493993551404,0.007640881642698062,0.06672224385201166,-0.039255108701618996,0.027186410879963246,-0.010843892122889654
-0.25,-0.18119071296355513,-0.04677397176017107,0.006274762661624802,0.0559270866944305,-0.032010719518317375,0.02269328260065718,-0.008723830546532743
-0.2,-0.15040742612168775,-0.03598434031426987,0.004998866776178421,0.044991975036102826,-0.02502884693253251,0.018184483040685,-0.006722526478576273
-0.15,-0.11612745081165458,-0.02584239474560982,0.003773879906537569,0.03392415571201875,-0.018324709297743644,0.013659921614609329,-0.0048448715326385675
-0.1,-0.07900445154956355,-0.016422868040026444,0.0025594009476323774,0.022731962582416894,-0.011911079160620843,0.009120866518553438,-0.0030960290786500814
-0.05,-0.03993676411787629,-0.007790257028931721,0.0013152099652677315,0.011421011944414602,-0.00579973262802304,0.004567498923392077,-0.0014795319486684937
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.03964643779108498,0.006904422036828053,-0.0014275359076144488,-0.01152455109933581,0.005480056619521778,-0.004580905568123782,0.0013397586187967319
0.1,0.07787503231635479,0.012889039542536295,-0.003006983593709095,-0.023145847445789597,0.01063400566448857,-0.009174130755730751,0.0025365734174135285
0.15,0.11368617327436101,0.017930300303406865,-0.004777475967230537,-0.034856551618933876,0.015457861375655815,-0.013780128490007792,0.003588089174478604
0.2,0.14629113326186746,0.02201525060189494,-0.006776153057503092,-0.04665059439446443,0.0199489967753396,-0.01839772116026901,0.004491769497745419
0.25,0.1751484831196755,0.025139814093318582,-0.009037527916167163,-0.05852118186457803,0.02410623425285403,-0.02302681818107703,0.005246436776528082
