index,PCA0,PCA2,PCA3,PCA5,PCA6
-1.0,0.6721951371397563,0.08704389958649235,0.06368843196903923,-0.1524573683195279,0.05787038493351664
-0.95,0.6318312495514797,0.08362208349892371,0.057537906823169525,-0.1457760298210899,0.05858716423362996
-0.9,0.5932357445744915,0.0803585090777294,0.051642551695920934,-0.13933301350886926,0.058759801199842907
-0.85,0.5563597848211906,0.07722854436540773,0.046011003767196655,-0.13307447029828448,0.05842551034803463
-0.8,0.5210147385477659,0.07420275897117752,0.040653286430958384,-0.1269454847862474,0.05762022661187638
-0.75,0.48691163343893795,0.07124511132951683,0.035578463394511935,-0.12089178136077383,0.05637700586507168
-0.7,0.4537007170245534,0.06831678744678671,0.030797197842922966,-0.11485705840471713,0.054726558080609625
-0.65,0.4210142160516977,0.06537289531386072,0.02631951317015319,-0.10878512093278131,0.05269746059446617
-0.6,0.3885038708961266,0.06236609038904738,0.022155326138313666,-0.1026185476933878,0.05031466525969494
-0.55,0.3558799628196063,0.059245082752180864,0.01831519330061939,-0.09629869116867548,0.04760099129233644
-0.5,0.32293935814663605,0.05595517026387438,0.014809031419181428,-0.08976663726115665,0.04457605895291148
-0.45,0.28958950043084597,0.05243845182922141,0.0116470771516628,-0.08296213897521033,0.04125714260122641
-0.4,0.2558583272171081,0.04863318760669183,0.008838394205369318,-0.07582452278781296,0.037659064064522504
-0.35,0.22188904508085414,0.044476464804398264,0.006392472815009414,-0.06829354170334358,0.03379483242857985
-0.3,0.18791848336239228,0.03990217167493366,0.004317630264934297,-0.06031001504468781,0.029675004246613453
-0.25,0.15424542450726222,0.034843130152384376,0.002621757312092553,-0.05181582845323783,0.025308536594078456
-0.2,0.12118635184821254,0.02923216217083681,0.0013108253401209482,-0.04275713284441208,0.020702573804968854
-0.15,0.08903578255675666,0.023002622823630598,0.0003905924689549364,-0.03308455767135658,0.0158645801088306
-0.1,0.05803075923690409,0.016091279423326423,-0.00013584897773644253,-0.022754597139003466,0.01079850088413799
-0.05,0.02832845723652256,0.008440444138719081,-0.000266046467388088,-0.011733982109947888,0.0055089213004692545
0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.026965915448833186,-0.009269826673125713,0.0006591981007587816,0.012456732793697972,-0.005725810484704674
0.1,-0.05264638393800168,-0.01939334794260775,0.0017078157201152776,0.025630564783061232,-0.011665631093677041
0.15,-0.07716637799647497,-0.030378667829096016,0.0031377488374195904,0.03949782369724403,-0.0178162628713974
0.2,-0.10067710158848402,-0.04221181756015449,0.004939080690560661,0.05401660321893833,-0.02417504002159935
0.25,-0.12333780938298439,-0.05485622241100799,0.007098375666355764,0.06912580329771793,-0.030739083484315147
0.3,-0.14530045176716166,-0.068250569067529,0.009599958882758388,0.0847453434137398,-0.03750519430402511
0.35,-0.16669847850211253,-0.08230613982997124,0.012423783551845098,0.10077893500586102,-0.044468680679300335
0.4,-0.1876398010207014,-0.0969111845188467,0.015548416671633933,0.11711600084495079,-0.05162559723166655
0.45,-0.20820210062613156,-0.11192894778568832,0.01894794670241535,0.13363338114350076,-0.05897093226414288
0.5,-0.22843469454933168,-0.12720449355149216,0.022594755994869303,0.15020301104887246,-0.06649850112939125
0.55,-0.24835688315527057,-0.14256950343999683,0.026458454471558673,0.1666942665440116,-0.07420137275711898
0.6,-0.2679639213265941,-0.157848354793171,0.030506199522481247,0.18298025572663687,-0.08207229618148144
0.65,-0.28722904446878733,-0.17286414537077546,0.03470429548282955,0.19894112439661035,-0.09010231432702347
0.7,-0.3061097064734384,-0.1874478636895196,0.03901638089152971,0.21446917438476887,-0.09828140379978334
0.75,-0.3245520582559657,-0.20144254766523698,0.043406307551209146,0.22947216914029456,-0.10659938125802337
0.8,-0.342495959452599,-0.21471085547428195,0.04783654105043676,0.24387471994477322,-0.1150444105663207
0.85,-0.3598806832243894,-0.22713709155869213,0.05227061329628801,0.25761945886255166,-0.12360428237777511
0.9,-0.37664678231459575,-0.23863013900208155,0.056672162827689006,0.27066714537258824,-0.13226524118365193
0.95,-0.39274179385269514,-0.24912511232332568,0.06100568123837113,0.28299581331364765,-0.14101278505226186
1.0,-0.40812103909326247,-0.258581651366951,0.06523811265463085,0.2946003443568985,-0.14983262531561695
