code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E07000188,-0.2770641,1.2824922,1.2566755,0.06038016,0.06962518,3.3140273,0.9442684,2.2854908,0.7795643,1.2896078,1.0478518,0.8236326,1.7303323,1.4520124,1.9995083,0.55730426,0.85924953,1.6132259,1.3295641
E07000189,-0.761815,1.2824922,1.2460879,-0.05171096,-0.2013463,3.3811483,0.6984189,2.3907294,1.1023073,1.3288778,0.9869095,1.0336392,1.840567,1.4159389,1.8565713,0.29358962,0.68586016,1.448895,1.3269672
E07000192,-0.100829594,1.2824922,1.2640921,0.9257824,0.0067750337,2.4318404,1.2542688,1.888481,-0.6446805,1.2271773,1.1440996,-0.5435809,1.184952,1.4383618,1.8312616,0.9154606,1.4030213,1.7900182,1.2555708
E07000193,0.19713423,1.2824922,1.257786,0.23445281,0.66956025,2.6427014,1.0585289,1.8740901,-0.32346925,1.2954056,1.1396878,0.3354478,1.7454817,1.4530315,2.4236162,0.7912833,0.70225835,1.8518802,1.2426015
E07000194,-0.2348022,1.2824922,1.2625011,0.24704105,-0.37820163,3.2152326,1.1735674,2.3061788,0.43473825,1.108501,1.0748942,0.26390675,1.3628091,1.4490764,1.7976671,1.0441172,0.7071237,1.8787215,1.2554319
E07000195,0.03231239,1.2824922,1.2550292,0.5827396,-0.39176664,2.0661786,0.52463436,1.9598773,0.16183805,1.352182,1.1441543,-0.02434112,1.7838649,1.386175,1.6960552,0.31468716,0.5959033,1.7723434,1.2570088
E07000196,-0.32658654,1.2824922,1.2596664,0.18045652,-1.0157931,3.2011585,1.2747853,2.3536139,0.83617157,1.154639,1.1153003,0.31213495,0.9402144,1.432086,1.608245,0.963073,0.6990428,1.8914073,1.2420353
E07000197,-0.10244117,1.2824922,1.253545,0.08225137,-0.49965453,2.8315778,1.1497172,2.1695592,0.33949846,1.3110766,1.0964878,0.40757474,1.620974,1.3687615,1.6750774,0.40151662,0.6456252,1.7336848,1.2458795
E07000198,0.30097458,1.2824922,1.2648681,-0.06427905,-0.7665882,3.526328,1.3738765,2.4185686,0.66698426,1.29077,1.0093373,0.286284,1.53657,1.3212281,1.6092225,0.42121524,0.90297717,1.6132259,1.2559797
E07000199,-1.4978364,1.2824922,1.2805487,1.1957048,0.70744246,2.4683766,0.8490301,1.9334581,-1.2236297,1.1864377,1.1384143,-0.54790866,1.1533194,1.4506755,2.001468,1.142503,1.8272533,1.8067222,1.2783256
