Code,Name,Geography1,Area (sq km),Estimated Population mid-2018,2018 people per sq. km
K02000001,UNITED KINGDOM,Country,"2,42,749","6,64,35,550",274
K03000001,GREAT BRITAIN,Country,"2,28,956","6,45,53,909",282
K04000001,ENGLAND AND WALES,Country,"1,51,045","5,91,15,809",391
E92000001,ENGLAND,Country,"1,30,309","5,59,77,178",430
E12000001,NORTH EAST,Region,"8,574","26,57,909",310
E06000047,County Durham,Unitary Authority,"2,226","5,26,980",237
E06000005,Darlington,Unitary Authority,197,"1,06,566",540
E06000001,Hartlepool,Unitary Authority,94,"93,242",997
E06000002,Middlesbrough,Unitary Authority,54,"1,40,545","2,608"
E06000057,Northumberland,Unitary Authority,"5,014","3,20,274",64
E06000003,Redcar and Cleveland,Unitary Authority,245,"1,36,718",558
E06000004,Stockton-on-Tees,Unitary Authority,205,"1,97,213",962
E11000007,Tyne and Wear (Met County),Metropolitan County,540,"11,36,371","2,105"
E08000037,Gateshead,Metropolitan District,142,"2,02,508","1,423"
E08000021,Newcastle upon Tyne,Metropolitan District,113,"3,00,196","2,646"
E08000022,North Tyneside,Metropolitan District,82,"2,05,985","2,502"
E08000023,South Tyneside,Metropolitan District,64,"1,50,265","2,334"
E08000024,Sunderland,Metropolitan District,137,"2,77,417","2,018"
E12000002,NORTH WEST,Region,"14,107","72,92,093",517
E06000008,Blackburn with Darwen,Unitary Authority,137,"1,48,942","1,087"
E06000009,Blackpool,Unitary Authority,35,"1,39,305","3,997"
E06000049,Cheshire East,Unitary Authority,"1,166","3,80,790",326
E06000050,Cheshire West and Chester,Unitary Authority,917,"3,40,502",371
E06000006,Halton,Unitary Authority,79,"1,28,432","1,624"
E06000007,Warrington,Unitary Authority,181,"2,09,547","1,160"
E10000006,Cumbria,County,"6,767","4,98,888",74
E07000026,Allerdale,Non-metropolitan District,"1,242","97,527",79
E07000027,Barrow-in-Furness,Non-metropolitan District,78,"67,137",861
E07000028,Carlisle,Non-metropolitan District,"1,039","1,08,387",104
E07000029,Copeland,Non-metropolitan District,732,"68,424",94
E07000030,Eden,Non-metropolitan District,"2,142","52,881",25
E07000031,South Lakeland,Non-metropolitan District,"1,534","1,04,532",68
E11000001,Greater Manchester (Met County),Metropolitan County,"1,276","28,12,569","2,204"
E08000001,Bolton,Metropolitan District,140,"2,85,372","2,041"
E08000002,Bury,Metropolitan District,99,"1,90,108","1,911"
E08000003,Manchester,Metropolitan District,116,"5,47,627","4,735"
E08000004,Oldham,Metropolitan District,142,"2,35,623","1,655"
E08000005,Rochdale,Metropolitan District,158,"2,20,001","1,391"
E08000006,Salford,Metropolitan District,97,"2,54,408","2,617"
E08000007,Stockport,Metropolitan District,126,"2,91,775","2,315"
E08000008,Tameside,Metropolitan District,103,"2,25,197","2,183"
