code,population,dPOP,dHHS,1,2,3,4,5,6,7,8,households,d_general,0-29,30-59,60-89,6+,logPOP,d1,d2,d3,d4,d5,d6+,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA,PCR,error,perror,Actual,Predicted
E06000001,93663.0,-0.06809765285125813,-1.0649803953444368,13392.0,13478.0,6629.0,4759.0,1526.0,469.0,107.0,74.0,40434.0,36.30035339461687,-0.20230442166724674,-0.37419965503696545,0.3632109201977738,650.0,-1.309801529330394,0.6060705588049607,-0.07850614380763184,0.5177329549848994,-0.6130934938140334,-0.782658408310747,-0.5374205755617042,-1.3020310071242498,0.762408267300162,-1.0355939244638515,0.6597644653286369,-0.9567785967630099,0.44848279663843627,-0.32833934331631554,0.09814019289660574,0.223035343171211,0.1338847975057092,-0.010039440820843515,-3.174967181435051e-15,5.504407923263988,41.034006270411034,-4.733652875794164,-11.5,36.30035339461687,40.264965706790974
E06000002,140980.0,0.628083956214515,-0.35115986641232366,17708.0,18554.0,9221.0,7220.0,2992.0,1084.0,239.0,185.0,57203.0,63.12952191800255,1.0958869206839195,-1.1603283749835076,-0.2558572456785634,1508.0,-0.7925806489934923,0.055601409189771876,-0.3352176389641903,0.32065590396853044,-0.139269077376199,0.4413280722729169,0.15656195004593979,0.5323535222355557,0.6131781000908346,0.37259888824262194,0.9920680660683057,-1.4584133385952038,0.24099825761989868,0.13377912978499792,-0.1766838923510129,-0.33728593074809476,-0.2915075538148751,0.020533271338799203,2.0573889535077392e-14,0.47830719735580907,36.24647372755824,26.883048190444313,74.2,63.12952191800255,37.416444187045954
E06000003,137150.0,-0.45392838786331396,-1.13948879596017,18735.0,21165.0,9738.0,7119.0,2132.0,557.0,117.0,42.0,59605.0,34.998177178271966,-0.7215437568242603,-0.758580078402209,0.9775725836359985,716.0,-0.8274185198373593,0.17654679655893596,0.5434050765875963,0.47681460934569525,-0.5164111024087129,-0.9483592643730081,-0.8115388665033352,-2.2205710539833463,-0.09496777568103443,-0.6588081639241112,0.4143300637839372,-0.813301795028158,0.4930815691296353,-0.30325734263027215,-0.14601487311702105,0.22199805911866555,0.08052984682462724,0.000618284781057965,4.972988683147607e-15,-0.9400813424606855,34.89541021667846,0.10276696159350962,0.3,34.998177178271966,34.91164628022568
E06000004,197348.0,-0.078473585310979,-0.21379669531175835,21986.0,27938.0,13583.0,10704.0,3700.0,925.0,203.0,120.0,79159.0,17.735168332083425,-0.1711957856632625,0.010912481934280962,0.16072556082364628,1248.0,-0.3671434462068968,-0.7537235101370569,0.4818715885032403,1.0659493547417669,0.36154036157483777,-0.02623196945374768,-0.5583238709698383,-0.24586192916932822,-1.1127362561097194,-0.7678653606765307,-0.016353289333522838,-0.7612042917254284,-0.08898530444468902,-0.2393634310176061,-0.14726737506062046,-0.07389443479644306,-0.24740637999126552,0.008706545717266131,9.299365007788736e-15,1.7076344752665138,37.41744993153208,-19.682281599448658,-52.6,17.735168332083425,35.85296708760408
E06000005,106803.0,-0.4719873543553473,-1.1997754906834661,15101.0,16657.0,7191.0,5352.0,1717.0,507.0,98.0,47.0,46670.0,23.40758218402105,-0.5991650741875393,-0.08021341814113446,0.5172715294512535,652.0,-1.143746899607111,0.41183228689097706,0.5955083052930187,-0.18961413647325018,-0.7810867630431043,-0.8625198993565957,-0.6794428504490784,-2.0622231011743093,0.6127935839528299,-0.9410976640385186,0.4601581934639371,-0.2194425137038497,0.08242785052333033,-0.3832077006598251,0.12601751398972932,-0.18801127056289227,-0.021701393194490035,-0.00864186382538129,-2.7608518625548873e-15,-5.745095726512199,30.318469962786963,-6.910887778765915,-22.8,23.40758218402105,28.656748584494224
E06000006,129410.0,0.28279326739497085,-0.5301884081754864,15833.0,17938.0,9272.0,7130.0,2289.0,663.0,128.0,59.0,53312.0,43.27331736341859,-0.13733188816116235,-0.09656517015129423,0.2164591167783483,850.0,-0.9008938072045178,-0.26428487970408376,0.011224384565729533,1.2328998486516967,0.27919599656917876,-0.34603927909494786,-0.5463057770067843,-0.2901200648624849,-0.47547008314968997,-1.2120538847491238,0.27630487875507015,-1.1477317005089596,0.2927430637590225,-0.12893267610841502,-0.20169756635894848,0.12072334585931721,0.0526522646079835,0.02408372091055977,2.4349546335194406e-14,9.369785655488462,44.71591053230769,-1.442593168889097,-3.2,43.27331736341859,43.24266404297188
E06000007,210014.0,0.06604732574781784,-0.3408748043466766,24534.0,29885.0,14347.0,11868.0,3388.0,893.0,142.0,83.0,85140.0,24.28409534602455,-0.5228850506226151,0.5323170860550664,0.17587415621748795,1118.0,-0.28846202540720267,-0.48879591754519286,0.42683608576626114,0.8450423656412,0.593604493094104,-0.6101451341206439,-0.736053270022665,-0.50676004862776,-0.9019494694191492,-1.2730725895338264,-0.48397484786929745,-0.4251459476952098,-0.12472305720138022,0.020070023773765183,-0.14944165998611314,-0.028102668135619305,0.21884382278171366,0.010397534604784153,1.4040801521369037e-14,3.264929857991481,38.900826952847744,-14.616731606823194,-37.6,24.28409534602455,36.31678255637458
E06000008,149696.0,0.003872397747579077,0.3501829115724321,17419.0,17082.0,8808.0,7307.0,3741.0,1957.0,595.0,444.0,57353.0,27.388841385207353,0.9947835552872836,-0.12958243664320587,-0.685572447718924,2996.0,-0.7167034185640703,-0.09315743502439539,-1.0931958710183767,-0.22594291453879695,-0.07326012208424498,1.5273422327750839,1.9022421747651488,2.1684201822735663,0.5654997738143581,0.7318991765743877,1.6593090701799016,0.3033213491378218,0.4055288411641255,-0.4598026673541957,0.49459541941960605,-0.5413501019425853,-0.08527876711708093,0.02286134155366637,2.3399386378995818e-14,6.930660681189114,42.39256071753988,-15.003719332332526,-35.4,27.388841385207353,44.517753912144826
E06000009,139446.0,0.9305083777990708,-1.787988989760878,24446.0,20833.0,9345.0,6399.0,2321.0,743.0,171.0,109.0,64367.0,30.119185921431953,-0.3664652483303847,-0.4521673841091672,0.5240083676095096,1023.0,-0.8064190090818032,1.8418147176912607,-0.3550570507706324,-0.8277224267463124,-1.6300053214052033,-0.9239845825296609,-0.5497221880945546,-1.9110907362375356,2.752068491412194,-0.5720841087573236,0.1269314236338367,-0.3731050002947789,1.2199857934891973,0.17291102341680867,-0.33110330530604265,-0.01323786994505187,-0.07670074639836127,0.00552777096653978,8.849380309779183e-15,5.7261812854990275,41.24525296973903,-11.126067048307075,-27.0,30.119185921431953,42.83293239258529
E06000010,259778.0,0.8419747607723165,-1.1096686961637632,39788.0,35562.0,17174.0,13273.0,4540.0,1660.0,365.0,234.0,112596.0,14.24293050219803,0.9938227216563107,-0.37110710327541935,-0.5702458064017943,2259.0,-0.019484997454251855,1.1697895894746624,-0.578685774821147,-0.301064187064974,-0.6028789830194166,-0.5657835404749844,-0.26842047010769227,-0.10035286851840985,2.0211573404499825,0.08194404279730531,-0.4076368244433926,-1.0870478787217845,0.44221733492927745,0.30283789189709065,0.287202956995322,-0.31183693228418735,0.15428004787150382,0.017257851045655415,2.107458207716188e-14,1.1329826590576286,36.87007445679716,-22.627143954599134,-61.4,14.24293050219803,37.9105626407714
