code,population,dPOP,dHHS,1,2,3,4,5,6,7,8,households,d_general,0-29,30-59,60-89,Indian,Pakistani,Bangladeshi,6+,logPOP,d1,d2,d3,d4,d5,d6+,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA,PCR,error,perror,Actual,Predicted
E06000001,93663.0,-0.06809765285125813,-1.0649803953444368,13392.0,13478.0,6629.0,4759.0,1526.0,469.0,107.0,74.0,40434.0,36.30035339461687,-0.20230442166724674,-0.37419965503696545,0.3632109201977738,-0.525864386783544,-0.4941451912563865,-0.2502401644738388,650.0,-1.309801529330394,0.6060705588049607,-0.07850614380763184,0.5177329549848994,-0.6130934938140334,-0.782658408310747,-0.5374205755617042,-1.5065842775130025,0.7382495045052193,-0.7363980267194521,1.0576334206509996,0.04156912923906109,-0.7808929635799247,-0.0424554941323229,-0.6665747109055619,-0.0910104889975333,0.2878333679595971,0.07597235893374493,0.16022475484587817,-0.11572981001287205,-0.010283468485324292,-1.2145688049146679e-14,3.055288708739901,38.52111573109947,-2.2207623364826006,-5.800000000000001,36.30035339461687,36.148222289134154
E06000002,140980.0,0.628083956214515,-0.35115986641232366,17708.0,18554.0,9221.0,7220.0,2992.0,1084.0,239.0,185.0,57203.0,63.12952191800255,1.0958869206839195,-1.1603283749835076,-0.2558572456785634,-0.3458949725134093,0.87507745220403,-0.2502401644738388,1508.0,-0.7925806489934923,0.055601409189771876,-0.3352176389641903,0.32065590396853044,-0.139269077376199,0.4413280722729169,0.15656195004593979,0.5831376367953364,0.5551274726285264,0.5051696030853975,0.8602027968711906,1.0023351232477076,-1.4586362106629311,0.12714791340414805,-0.17351375511224446,-0.18038382868156458,-0.36933259412365443,-0.1119095182729707,-0.2962211155717721,0.268709219118349,0.020348794166457154,3.971050107355634e-14,-1.3366574532681244,34.270289214167356,28.859232703835197,84.2,63.12952191800255,32.897815113576904
E06000003,137150.0,-0.45392838786331396,-1.13948879596017,18735.0,21165.0,9738.0,7119.0,2132.0,557.0,117.0,42.0,59605.0,34.998177178271966,-0.7215437568242603,-0.758580078402209,0.9775725836359985,-0.5708567403510776,-0.5239109008968303,-0.28634654350134014,716.0,-0.8274185198373593,0.17654679655893596,0.5434050765875963,0.47681460934569525,-0.5164111024087129,-0.9483592643730081,-0.8115388665033352,-2.376727549778331,-0.06318030691865067,-0.282187303521442,0.7019418885055635,0.0005469293460690083,-0.5925514545797744,0.018619165680501107,-0.8155925595623286,0.08078949356219996,0.1292514521710256,-0.040531536650954686,0.18389635850026562,-0.03350884366288618,-0.000590095210334902,3.6672866429434005e-15,-3.3263387524248134,32.34453928128743,2.6536378969845344,8.200000000000001,34.998177178271966,31.54727927336694
E06000004,197348.0,-0.078473585310979,-0.21379669531175835,21986.0,27938.0,13583.0,10704.0,3700.0,925.0,203.0,120.0,79159.0,17.735168332083425,-0.1711957856632625,0.010912481934280962,0.16072556082364628,-0.41338350286470976,-0.10719096593061665,-0.28634654350134014,1248.0,-0.3671434462068968,-0.7537235101370569,0.4818715885032403,1.0659493547417669,0.36154036157483777,-0.02623196945374768,-0.5583238709698383,-0.45836543918450695,-1.1302155151206144,-0.7323989423828188,0.22424995716820567,0.025439207962008215,-0.7677038351169021,0.18727305556228496,-0.20795272915737967,0.2317344802572912,0.038397991469982545,-0.1310616837741408,-0.08477881264221528,0.2527085056995335,0.006948942058519836,1.4548560102815933e-14,1.263635148669003,36.787030616808565,-19.05186228472514,-51.800000000000004,17.735168332083425,34.0999165498366
E06000005,106803.0,-0.4719873543553473,-1.1997754906834661,15101.0,16657.0,7191.0,5352.0,1717.0,507.0,98.0,47.0,46670.0,23.40758218402105,-0.5991650741875393,-0.08021341814113446,0.5172715294512535,-0.4358796796484766,-0.5536766105372741,-0.1419210273913346,652.0,-1.143746899607111,0.41183228689097706,0.5955083052930187,-0.18961413647325018,-0.7810867630431043,-0.8625198993565957,-0.6794428504490784,-2.1673694914759025,0.6493786102263841,-0.4458669966194169,0.8086918075863283,-0.41109811163271015,-0.2069942936968253,0.10157254802657446,-0.2968458557830875,0.2240599904322122,0.32250653005357444,0.1082618710716196,-0.21628906210468193,0.029654575708588662,-0.010618428979430189,-1.3642184197752709e-14,-6.087686744804693,29.67191743313642,-6.264335249115373,-21.099999999999998,23.40758218402105,28.733788838702786
E06000006,129410.0,0.28279326739497085,-0.5301884081754864,15833.0,17938.0,9272.0,7130.0,2289.0,663.0,128.0,59.0,53312.0,43.27331736341859,-0.13733188816116235,-0.09656517015129423,0.2164591167783483,-0.5483605635673108,-0.583442320177718,-0.32245292252884156,850.0,-0.9008938072045178,-0.26428487970408376,0.011224384565729533,1.2328998486516967,0.27919599656917876,-0.34603927909494786,-0.5463057770067843,-0.6571600422063603,-0.5295712423669382,-1.246019698681345,0.6556642759451408,0.05859754219477306,-0.9854718970347865,-0.12653220054723652,-0.605517797701479,-0.06516954368520134,-0.037796532019868365,-0.1089019763531599,0.0628932703049794,-0.06970826127654481,0.02434188638423311,4.7431832985358847e-14,9.032567800104976,44.306336114826046,-1.0330187514074538,-2.3,43.27331736341859,40.367346253642765
E06000007,210014.0,0.06604732574781784,-0.3408748043466766,24534.0,29885.0,14347.0,11868.0,3388.0,893.0,142.0,83.0,85140.0,24.28409534602455,-0.5228850506226151,0.5323170860550664,0.17587415621748795,-0.39088732608094295,-0.40484806233505505,-0.28634654350134014,1118.0,-0.28846202540720267,-0.48879591754519286,0.42683608576626114,0.8450423656412,0.593604493094104,-0.6101451341206439,-0.736053270022665,-0.7782743706128212,-0.9272782692647754,-1.303545161422655,0.06711894652586384,-0.1967278650867274,-0.2835843153965566,0.2319772814620505,-0.19699757616535674,0.38250477557793044,-0.17938533046346264,0.08677684539906581,0.06877555053716189,-0.14104767834717155,0.010304932027353678,2.2836804441878715e-14,3.6089444372638533,39.05698169239462,-14.772886346370072,-37.8,24.28409534602455,36.09570039124383
E06000008,149696.0,0.003872397747579077,0.3501829115724321,17419.0,17082.0,8808.0,7307.0,3741.0,1957.0,595.0,444.0,57353.0,27.388841385207353,0.9947835552872836,-0.12958243664320587,-0.685572447718924,2.4211347718899114,3.018208546315986,0.03861086774617231,2996.0,-0.7167034185640703,-0.09315743502439539,-1.0931958710183767,-0.22594291453879695,-0.07326012208424498,1.5273422327750839,1.9022421747651488,3.469609302594887,0.4036575580648783,2.2782439474393,2.036907678489636,0.6490720099330779,0.5537580595493244,0.9656885631140926,-0.01372780137203902,0.7376467117892731,0.46393468332441834,0.41788820679775174,-0.2963597063379463,0.2715925923313345,0.018970476862469443,3.4146332099005467e-14,-3.7964731583384754,31.889510980515592,-4.5006695953082385,-14.099999999999998,27.388841385207353,39.40456673863126
E06000009,139446.0,0.9305083777990708,-1.787988989760878,24446.0,20833.0,9345.0,6399.0,2321.0,743.0,171.0,109.0,64367.0,30.119185921431953,-0.3664652483303847,-0.4521673841091672,0.5240083676095096,-0.5033682099997772,-0.5239109008968303,-0.2502401644738388,1023.0,-0.8064190090818032,1.8418147176912607,-0.3550570507706324,-0.8277224267463124,-1.6300053214052033,-0.9239845825296609,-0.5497221880945546,-2.0255773617955395,2.70834526146384,-0.4841798521181031,0.7509425111982674,0.4934328564545408,0.23526474982639617,0.07315443112292049,-1.0443626298211195,-0.41496549186494885,-0.307507698593338,-0.16220342508258004,-0.08581188583709527,0.03798201109898779,0.00505652147783055,1.423726084150289e-14,7.167271026900554,42.500974051403105,-12.381788129971152,-29.099999999999998,30.119185921431953,43.22356652725257
E06000010,259778.0,0.8419747607723165,-1.1096686961637632,39788.0,35562.0,17174.0,13273.0,4540.0,1660.0,365.0,234.0,112596.0,14.24293050219803,0.9938227216563107,-0.37110710327541935,-0.5702458064017943,-0.5033682099997772,-0.4941451912563865,-0.21413378544633735,2259.0,-0.019484997454251855,1.1697895894746624,-0.578685774821147,-0.301064187064974,-0.6028789830194166,-0.5657835404749844,-0.26842047010769227,-0.38138007300571597,1.9362057391420955,-0.6532756895639157,-0.16496194904700034,1.0869712863614525,-0.5112261798016681,-0.36891897175034366,-0.35963869096173895,-0.33930253404821936,-0.14426038133680097,0.39207364417432145,-0.32397050007888717,-0.18074894936482033,0.017308322710394324,3.796767954106684e-14,7.176834410014324,42.51023014904912,-28.267299646851093,-66.5,14.24293050219803,40.59130368912583
