index,PCA0,PCA2,PCA5,PCA6,PCA7,PCA8
-1.0,-0.3223599583531643,-0.12064236687805362,0.08227728136357067,0.18976238074015447,-0.19860088877858395,0.060679416974566226
-0.95,-0.3169454535411539,-0.11147537169271234,0.0779798976837731,0.18082597918112212,-0.1881970302416258,0.05847780588367488
-0.9,-0.310758819496833,-0.10247654527996222,0.07375676174665498,0.17182696360214864,-0.17758858843407443,0.05619050249358916
-0.85,-0.30366324174913684,-0.09367861339644927,0.06959888815660542,0.16276552316945736,-0.1668104645241448,0.05381656097319212
-0.8,-0.2955140554287301,-0.08511335596770252,0.0654978590166837,0.1536422253817185,-0.1559009646720728,0.05135598132248377
-0.75,-0.286164893170267,-0.07681293125169776,0.06144412143260878,0.1444579214869373,-0.14490019211721647,0.04880800687657055
-0.7,-0.275472083227085,-0.06880751126106528,0.05742859542565805,0.135213462733119,-0.1338516550909549,0.046172448469229084
-0.65,-0.2633066615263898,-0.06112566009553651,0.05344191726777387,0.12590932203582203,-0.12280056432067761,0.043448833184900906
-0.6,-0.2495627422746406,-0.05379518518994937,0.04947425031534009,0.11654672897549843,-0.11179317094800274,0.04063659352491584
-0.55,-0.2341720837567504,-0.04684143481823774,0.04551613625718737,0.10712615646770668,-0.10087761777678235,0.037736296987944055
-0.5,-0.21711723538861175,-0.04028710892720808,0.04155858969770481,0.09764892867601047,-0.09010223677709182,0.03474709232598032
-0.45,-0.19844369164694925,-0.034153867049438215,0.037591206494606115,0.08811580226530336,-0.07951535991900659,0.031668979539024616
-0.4,-0.17827157308361374,-0.02845930164370315,0.03360566333406225,0.07852810139914905,-0.0691649408401553,0.028502431542635417
-0.35,-0.156800355481167,-0.023219586422102485,0.029592123572457094,0.06888658274244111,-0.05909732526526779,0.025246975421254262
-0.3,-0.13431000485022196,-0.01844730093849147,0.02554188556351483,0.05919266504185492,-0.04935829142040377,0.021903178673551307
-0.25,-0.11115114078582676,-0.014152943918268084,0.021446247660959646,0.049447577877842507,-0.039990117956490254,0.018471041299526553
-0.2,-0.08772990316959357,-0.010343419928585968,0.01729641363540405,0.03965264541396758,-0.031033191862220404,0.014951036214738471
-0.15,-0.0644821309802064,-0.007023268958806407,0.013084533088577462,0.029808718898235383,-0.022524589717378096,0.011343352585410442
-0.1,-0.04184744652081698,-0.004194098921828193,0.008802755622209325,0.019917784575991478,-0.014497226444832697,0.00764855791021263
-0.05,-0.020235300081946808,-0.00185439648786423,0.004443609170475844,0.009980977444576189,-0.006980895724767685,0.0038673142709268918
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.018582933120660054,0.0013752384440245795,-0.0045349764563718375,-0.010023918177285072,0.00642436869556269,-0.0039527228207861895
0.1,0.03533189970558169,0.0022808717384905594,-0.009166995185341283,-0.020088980008156846,0.012277077064049412,-0.007989624610979662
0.15,0.05016281536846932,0.0027281552736894755,-0.01390229867228011,-0.030193577579716538,0.017546207633386778,-0.012109948705686867
0.2,0.06308759758139633,0.002730709017705202,-0.018746467320778244,-0.04033591381284197,0.02222655833243164,-0.01631303302312595
0.25,0.07420177528717324,0.002304517516413953,-0.023703757370861896,-0.05051447537774603,0.02631576458339166,-0.0205975533997332
0.3,0.08367039601570533,0.0014670786454790408,-0.028779087144339126,-0.06072708686285978,0.029817042212064417,-0.0249622802550566
0.35,0.09170920384476566,0.0002376873596859538,-0.03397642913190107,-0.07097232952150782,0.032737579534938624,-0.029406173174867527
0.4,0.09856629027632645,-0.0013630372226161084,-0.03929890457623361,-0.0812477441927861,0.035088915691640896,-0.03392781341249057
0.45,0.10450308303110876,-0.003313057236402543,-0.04474982388624603,-0.09155200671313093,0.0368862785631539,-0.038525687638138635
0.5,0.10978053691427517,-0.005588537737526569,-0.050331835389065736,-0.10188275250474996,0.038148490188704656,-0.04319828252202462
0.55,0.11464494634867572,-0.008166116697399873,-0.05604673616381492,-0.11223799532229763,0.038897588433317774,-0.047944273900584825
0.6,0.11931952747790728,-0.01102025667586519,-0.061896417872727455,-0.12261574892042837,0.03915835407225696,-0.0527613917791386
0.65,0.12399722984982472,-0.014125514815876948,-0.06788220467936704,-0.1330140270537966,0.0389574595430198,-0.05764840657723392
0.7,0.12883742600763173,-0.017456069927942804,-0.07400475866551552,-0.14343027597838662,0.03832432019334301,-0.06260304830019014
0.75,0.1339663844054392,-0.020985627907011938,-0.08026417441428463,-0.15386260403196456,0.037289675534527,-0.06762342528577342
0.8,0.1394765127433718,-0.02468808381425693,-0.08666083025812109,-0.16430874121984973,0.0358853054921008,-0.07270726753930307
0.85,0.14543014129203558,-0.02853685979529188,-0.0931938749490197,-0.17476651213047323,0.03414421957204547,-0.07785296714788031
0.9,0.1518639682987676,-0.03250613466062444,-0.0998626464051986,-0.18523345760293103,0.03209971102967715,-0.08305759203504266
0.95,0.15879322164455062,-0.0365698034714272,-0.10666638796176421,-0.19570759139187752,0.02978564061898215,-0.08831934512166793
1.0,0.16621629341648575,-0.04070327461865981,-0.11360292420714761,-0.20618635975329697,0.027234828679718128,-0.093635483497517
