,weights,features,err_weights,err_coefficients,error
0,-5.126106509868359,logPOP,5.938359561403175,8.060870034949588,2.8391671375510086
1,1.5718494332326445,dPOP,0.0,4.130423668228908,2.0323443773703582
2,1.0701574167570516,dHHS,10.921719453419922,4.037222323901151,2.0092840326596813
3,4.558022812059091,d1,0.0,4.440758751969536,2.1073107867539465
4,1.3666457696117345,d2,0.0,6.706935343017237,2.58977515298476
5,-5.869284042196901,d3,9.401227326006456,10.65591477216219,3.264339867746952
6,-0.3181724135798363,d4-d5,0.0,3.537649123416433,1.8808639300641694
7,2.697843990677792,d6+,19.45105472980198,6.94401710449294,2.635150300171309
8,0.11032981328061275,0-29,44.37758159764239,2.3957681081495377,1.5478268986387134
9,-5.296541568540478,30-59,0.0,3.371652908442395,1.836206118180199
10,-8.287182007215362,60-89,0.0,11.470249602279024,3.3867756941195597
11,2.6554551352359814,Indian,0.0,8.130189144584733,2.8513486536347554
12,4.614886962934774,Pakistani,0.0,14.655548581403794,3.8282565981662975
13,-3.35519340177355,Bangladeshi,0.0,1.5527432012764921,1.2460911689264522
