code,name,area,population,dPOP,All ages,0-19,20-39,40-59,60-79,80+,Area name ,Care home,Elsewhere,Home,Hospice,Hospital,Other communal establishment,deaths_general,deaths_restricted,cases,days_since_100+_cases,total,1PHHS,2PHHS,3PHHS,4PHHS,5PHHS,6+PHHS,total_households,Household residents,Communal establishment residents,Households with at least one usual resident
E06000023,"Bristol, City of",110.0,463405.0,4212.772727272727,463405.0,107648.0,176673.0,100155.0,61645.0,17284.0,"Bristol, City of",125,3,20,3,154,1,177,129,15956.0,255.0,182747,61607,60565,26593,21192,7932,4858,428200.0,418800.0,9400.0,182700.0
E06000024,North Somerset,374.0,213919.0,571.975935828877,213919.0,47569.0,43971.0,58443.0,49714.0,14222.0,North Somerset,59,0,5,0,110,1,115,60,4390.0,243.0,88227,27115,33000,12468,11081,3406,1157,202600.0,199200.0,3300.0,88200.0
E06000025,South Gloucestershire,497.0,282644.0,568.7002012072435,282644.0,65687.0,73258.0,76068.0,52969.0,14662.0,South Gloucestershire,87,0,10,0,109,0,119,87,6600.0,252.0,107538,28554,38898,17056,16507,4961,1562,262800.0,258200.0,4600.0,107500.0
E06000026,Plymouth,80.0,263100.0,3288.75,263100.0,60503.0,76205.0,64251.0,49055.0,13086.0,Plymouth,44,0,4,1,68,1,72,46,4176.0,248.0,109307,34317,38502,16644,12859,4667,2318,256400.0,251100.0,5300.0,109300.0
E06000027,Torbay,63.0,135780.0,2155.2380952380954,135780.0,28080.0,26803.0,35643.0,35261.0,9993.0,Torbay,39,0,9,0,44,1,53,40,1992.0,240.0,59010,20192,21959,7953,5879,2108,919,131000.0,127900.0,3100.0,59000.0
E06000030,Swindon,230.0,221996.0,965.2,221996.0,54878.0,56712.0,63258.0,37842.0,9306.0,Swindon,72,1,9,0,107,0,117,72,4196.0,246.0,88360,26143,30472,14261,11989,3813,1682,209200.0,207900.0,1300.0,88400.0
E06000031,Peterborough,343.0,201041.0,586.1253644314869,201041.0,55142.0,56088.0,50744.0,30930.0,8137.0,Peterborough,33,1,5,1,95,0,101,34,4907.0,244.0,74023,21252,24505,11997,9868,3870,2531,183600.0,181800.0,1800.0,74000.0
E06000032,Luton,43.0,214109.0,4979.279069767442,214109.0,62293.0,64857.0,51326.0,27686.0,7947.0,Luton,14,0,16,4,210,0,226,18,6522.0,254.0,74293,20319,20641,12413,10617,5292,5011,203200.0,201500.0,1700.0,74300.0
E06000033,Southend-on-Sea,42.0,182463.0,4344.357142857143,182463.0,43107.0,44270.0,50354.0,34599.0,10133.0,Southend-on-Sea,33,1,7,2,182,1,190,36,2920.0,251.0,74678,24386,24848,11186,9501,3311,1446,173600.0,171500.0,2200.0,74700.0
E06000034,Thurrock,163.0,172525.0,1058.435582822086,172525.0,47485.0,46979.0,46412.0,25864.0,5785.0,Thurrock,15,2,11,1,187,0,200,16,3556.0,251.0,62353,16368,19584,11128,10184,3676,1413,157700.0,157100.0,600.0,62400.0
E06000035,Medway,194.0,277855.0,1432.2422680412371,277855.0,70897.0,75273.0,73024.0,47826.0,10835.0,Medway,38,1,5,9,183,1,189,48,8123.0,254.0,106209,29434,34837,18384,15493,5545,2516,263900.0,260000.0,3900.0,106200.0
E06000036,Bracknell Forest,109.0,121676.0,1116.2935779816514,121676.0,31035.0,31550.0,35118.0,19361.0,4612.0,Bracknell Forest,12,0,6,0,64,0,70,12,1668.0,244.0,45878,12707,15522,7648,7185,2074,742,113200.0,110500.0,2700.0,45900.0
E06000037,West Berkshire,704.0,158527.0,225.18039772727272,158527.0,39003.0,33703.0,46521.0,31719.0,7581.0,West Berkshire,64,1,7,1,70,0,78,65,1774.0,249.0,62340,16123,22607,10190,9502,2875,1043,153800.0,150900.0,2900.0,62300.0
E06000038,Reading,40.0,163203.0,4080.075,163203.0,41888.0,54610.0,39918.0,20998.0,5789.0,Reading,66,0,9,5,112,2,121,73,3007.0,250.0,62869,19237,20410,9955,8066,3189,2012,155700.0,151300.0,4400.0,62900.0
E06000039,Slough,33.0,149112.0,4518.545454545455,149112.0,45777.0,43808.0,38492.0,17123.0,3912.0,Slough,13,1,10,1,114,0,125,14,4301.0,256.0,50766,14447,12370,8563,7812,4160,3414,140200.0,139700.0,500.0,50800.0
E06000040,Windsor and Maidenhead,197.0,150906.0,766.0203045685279,150906.0,37544.0,33508.0,43972.0,27499.0,8383.0,Windsor and Maidenhead,53,0,9,2,86,0,95,55,2574.0,251.0,58349,16554,19740,9227,8683,2902,1243,144600.0,141100.0,3500.0,58300.0
E06000041,Wokingham,179.0,167979.0,938.4301675977654,167979.0,43255.0,36795.0,49294.0,30385.0,8250.0,Wokingham,84,1,7,3,84,0,92,87,2390.0,250.0,60332,14084,21502,10094,10397,3172,1083,154400.0,151700.0,2600.0,60300.0
E06000042,Milton Keynes,309.0,268607.0,869.2783171521036,268607.0,73469.0,71640.0,72901.0,41928.0,8669.0,Milton Keynes,78,1,9,3,137,0,147,81,4391.0,255.0,98584,25546,32859,17221,14896,5456,2606,248800.0,246700.0,2100.0,98600.0
E06000043,Brighton and Hove,83.0,290395.0,3498.734939759036,290395.0,60454.0,103576.0,75535.0,39497.0,11333.0,Brighton and Hove,65,0,3,10,103,5,106,80,4255.0,251.0,121540,44294,39817,17285,13244,4822,2078,273400.0,266000.0,7300.0,121500.0
E06000044,Portsmouth,40.0,215133.0,5378.325,215133.0,51645.0,72982.0,50680.0,31352.0,8474.0,Portsmouth,45,1,3,0,80,0,84,45,4724.0,249.0,85473,27471,27470,13514,10686,4422,1910,205100.0,200100.0,5000.0,85500.0
E06000045,Southampton,50.0,252796.0,5055.92,252796.0,60314.0,93284.0,54802.0,35094.0,9302.0,Southampton,54,1,13,0,110,0,124,54,4123.0,253.0,98254,33241,31029,14638,11705,4846,2795,236900.0,228500.0,8400.0,98300.0
E06000046,Isle of Wight,380.0,141538.0,372.4684210526316,141538.0,27665.0,26855.0,37419.0,39240.0,10359.0,Isle of Wight,47,0,3,1,44,0,47,48,996.0,228.0,61085,19957,23439,8333,6208,2182,966,138300.0,133700.0,4600.0,61100.0
E06000049,Cheshire East,1166.0,380790.0,326.57804459691255,380790.0,83729.0,77707.0,109043.0,86574.0,23737.0,Cheshire East,228,1,13,5,368,0,382,233,9447.0,253.0,159441,47328,57990,25266,20969,5888,2000,370100.0,365100.0,5100.0,159400.0
E06000050,Cheshire West and Chester,917.0,340502.0,371.3217011995638,340502.0,75514.0,77856.0,93335.0,74389.0,19408.0,Cheshire West and Chester,129,1,20,6,344,2,365,137,9369.0,253.0,141442,41841,51108,22381,18383,5617,2112,329600.0,326200.0,3400.0,141400.0
E06000051,Shropshire,3197.0,320274.0,100.17954332186424,320274.0,66368.0,66290.0,88441.0,78548.0,20627.0,Shropshire,124,1,21,3,173,0,195,127,6001.0,253.0,129674,37540,49377,19083,16308,5444,1922,306100.0,298200.0,8000.0,129700.0
E06000054,Wiltshire,3255.0,498064.0,153.01505376344085,498064.0,115733.0,106947.0,139413.0,107219.0,28752.0,Wiltshire,222,0,22,3,164,0,186,225,5457.0,253.0,194194,51845,74250,30011,26671,8556,2861,471000.0,458000.0,13000.0,194200.0
E06000055,Bedford,476.0,171623.0,360.55252100840335,171623.0,43754.0,41527.0,46794.0,30923.0,8625.0,Bedford,30,0,7,2,172,0,179,32,3562.0,251.0,63812,18396,21264,10534,8697,3236,1685,157500.0,154500.0,3000.0,63800.0
E06000056,Central Bedfordshire,716.0,283606.0,396.0977653631285,283606.0,67651.0,69617.0,79714.0,53741.0,12883.0,Central Bedfordshire,59,0,13,2,232,2,245,63,3999.0,253.0,104399,27030,37399,17957,15702,4747,1564,254400.0,252100.0,2300.0,104400.0
E06000057,Northumberland,5014.0,320274.0,63.87594734742721,320274.0,65005.0,65654.0,88454.0,81603.0,19558.0,Northumberland,146,1,13,1,237,3,251,150,9009.0,251.0,138534,41406,53502,20775,16422,4881,1548,316000.0,311700.0,4400.0,138500.0
E06000058,"Bournemouth, Christchurch and Poole",161.0,395784.0,2458.285714285714,395784.0,85286.0,101539.0,101950.0,80710.0,26299.0,"Bournemouth, Christchurch and Poole",104,0,15,4,149,0,164,108,7493.0,250.0,167379,56380,59488,23326,18850,6485,2850,378800.0,371600.0,7400.0,167400.0
E06000059,Dorset,2491.0,376484.0,151.13769570453633,376484.0,75057.0,67038.0,99548.0,104506.0,30335.0,Dorset,87,0,4,3,104,5,108,95,3388.0,250.0,110620,32076,45273,14946,12718,4112,1495,255100.0,248400.0,6700.0,110700.0
E06000060,Buckinghamshire,1565.0,540059.0,345.0856230031949,540059.0,135244.0,120393.0,153367.0,101985.0,29070.0,Buckinghamshire,171,0,15,2,272,4,287,177,8327.0,261.0,200727,52065,70479,31471,30987,10805,4920,505300.0,497300.0,8000.0,200700.0
E07000026,Allerdale,1242.0,97527.0,78.52415458937197,97527.0,20113.0,20011.0,27071.0,24102.0,6230.0,Allerdale,17,0,7,0,71,1,78,18,1507.0,244.0,42345,13169,15710,6196,5199,1579,492,96400.0,95000.0,1500.0,42300.0
E07000027,Barrow-in-Furness,78.0,67137.0,860.7307692307693,67137.0,14646.0,15452.0,18453.0,15059.0,3527.0,Barrow-in-Furness,30,0,7,0,91,2,98,32,2051.0,255.0,31224,10791,10657,4744,3611,1042,379,69100.0,68400.0,700.0,31200.0
E07000028,Carlisle,1039.0,108387.0,104.31857555341675,108387.0,23518.0,24931.0,29674.0,23911.0,6353.0,Carlisle,53,0,10,2,94,2,104,57,2733.0,251.0,48342,16423,17028,6939,5709,1654,589,107500.0,106100.0,1400.0,48300.0
E07000029,Copeland,732.0,68424.0,93.47540983606558,68424.0,14159.0,14940.0,19205.0,16226.0,3894.0,Copeland,26,0,7,0,54,0,61,26,1207.0,245.0,30536,9308,11198,4640,3768,1236,386,70600.0,69300.0,1300.0,30500.0
E07000030,Eden,2142.0,52881.0,24.68767507002801,52881.0,10069.0,9699.0,15084.0,14342.0,3687.0,Eden,12,0,4,0,41,0,45,12,945.0,218.0,23043,6958,9028,3122,2806,861,268,52600.0,51600.0,1000.0,23000.0
E07000031,South Lakeland,1534.0,104532.0,68.14341590612777,104532.0,19685.0,18598.0,29172.0,28982.0,8095.0,South Lakeland,75,0,10,1,99,0,109,76,2199.0,258.0,46552,15091,18509,5964,5028,1496,464,103700.0,100500.0,3100.0,46600.0
