index,PCA0,PCA2,PCA5,PCA8
-1.0,-0.3719477840524922,0.004253356414349432,-0.2393667554833856,-0.08163457276253858
-0.95,-0.35412825827086564,0.005480601729200761,-0.22788306434676536,-0.07683098769023328
-0.9,-0.33623454490434346,0.006799763459307988,-0.2163491659440011,-0.07211560721195144
-0.85,-0.3182740187556373,0.008181928470860543,-0.2047707256864476,-0.06748686845559519
-0.8,-0.30025219871684294,0.00959476484733377,-0.19315360434447185,-0.06294350158758501
-0.75,-0.2821727966091927,0.011002717248501158,-0.18150073230325736,-0.05848345533829246
-0.7,-0.26403766834330283,0.012367495307964924,-0.16981445387095093,-0.05410526451512577
-0.65,-0.24584593480361827,0.013647389876613202,-0.15809486672705864,-0.04980668248944426
-0.6,-0.22759490980372085,0.014798347497187319,-0.14634060335849491,-0.045585560312113374
-0.55,-0.2092793186502802,0.015772895929714516,-0.134548538021064,-0.04143965135449241
-0.5,-0.1908916400213254,0.016522000062124165,-0.12271427513699062,-0.03736641594942233
-0.45,-0.1724221059662447,0.016994085115186602,-0.11083097714084662,-0.033363216750238
-0.4,-0.1538587995852919,0.017136111117080414,-0.09889092735164876,-0.02942751408978036
-0.35,-0.13518726431156167,0.016893768262404664,-0.0868845531777976,-0.025556182223853686
-0.3,-0.11639167606506315,0.016212746745758413,-0.07480150059164477,-0.021746290767274475
-0.25,-0.09745494093222586,0.01503824836421015,-0.06263014573196235,-0.0179948116553531
-0.2,-0.07835849980688761,0.013317526184456807,-0.050357790262955185,-0.014298814502906062
-0.15,-0.05908340286486177,0.010998810068256485,-0.03797173584882807,-0.010654489809194806
-0.1,-0.03961050492294943,0.00803482313464866,-0.025458698076749133,-0.0070589071890358275
-0.05,-0.019921637593012867,0.004381218887856308,-0.012805490213392603,-0.0035085501802089207
0.0,0.0,0.0,0.0,0.0
0.05,0.020169352820525042,-0.005139797932359286,0.012969689463174923,0.003470162134305023
0.1,0.04059765401176569,-0.011061227272665113,0.026113639165262197,0.006905648043938586
0.15,0.06129252257519906,-0.017777767792761596,0.03944034722329398,0.010309583473096427
0.2,0.08225640049847806,-0.025292252198326124,0.05295586976664952,0.013685777922517099
0.25,0.10348606435790084,-0.033596280051832655,0.06666401629606736,0.017037454815902457
0.3,0.12497184388236184,-0.042668264182429375,0.0805652752090781,0.020368130615472706
0.35,0.14669635211977228,-0.05247430980149376,0.094656520761486,0.02368132178344805
0.4,0.16863507151409682,-0.06296811682312645,0.10893159914440567,0.026979958705011995
0.45,0.19075469335374964,-0.07409049146662067,0.12337966793265819,0.03026755784238474
0.5,0.21301419224616172,-0.08577120216707845,0.13798636823884436,0.033547147260255906
0.55,0.23536463075876854,-0.09792985869096568,0.15273265255927143,0.036821364305290656
0.6,0.2577497454960468,-0.11047796340574055,0.1675952731714836,0.04009333472168471
0.65,0.28010682621506955,-0.12332086486997589,0.1825470751727804,0.043365793535609355
0.7,0.30236739958204895,-0.1363602975005182,0.19755748487774727,0.04664098737570527
0.75,0.3244591827624585,-0.14949701891915282,0.21259172838220664,0.04992145590913149
0.8,0.3463074509341189,-0.1626329589017385,0.2276120037172913,0.05320915272601035
0.85,0.36783620944127127,-0.17567434512240315,0.24257865300351783,0.05650593373695808
0.9,0.38897034274371184,-0.18853336370514776,0.2574492833352316,0.059813947891109234
0.95,0.40963766568642024,-0.20113040585248715,0.2721810134092472,0.06313417198352499
1.0,0.4297698026151148,-0.2133950446405111,0.28672978976830615,0.06646807120679708
