code,name,long,lat,sqm,length,population,dPOP,households,1,2,3,4,5,6,7,8,dHHS,general,restricted,d_general,d_restricted,kmean,k2mean,Tc,geometry,0-29,30-59,60-89,Indian,Pakistani,Bangladeshi,PCA0,PCA2,PCA5,PCA7,PCA8
E06000001,Hartlepool,-1.27018,54.67614,96845510.24630864,50305.32505760145,93663.0,967.1382778797436,40434.0,13392.0,13478.0,6629.0,4759.0,1526.0,469.0,107.0,74.0,2.316441608547262,34,11,36.30035339461687,11.74423198061134,2.9445835529783877,10.668357933579335,0.3812363499863502,"POLYGON ((-138145.2442082902 7273416.828894463, -130928.9258135923 7268512.709349847, -130686.8241538746 7267385.538592487, -133164.934730502 7268685.167285231, -132250.5685453337 7267681.527685678, -133482.3416026577 7265226.764531301, -130897.1278927018 7260009.47988336, -128865.9568975706 7259008.417741214, -130594.6449751225 7256227.186840679, -132273.7592933246 7256014.016731533, -133654.425366462 7254160.474487551, -139226.35909743 7254616.0999453, -144603.9566472148 7255127.01370844, -146535.3827632217 7258438.077445854, -147926.8109285603 7258201.36760552, -148616.7121578683 7255768.325387606, -153719.3937333987 7258185.200921282, -149306.1402017259 7259393.516492712, -150040.5541746441 7261737.720657829, -148158.6417303108 7265524.151661934, -149670.3720417583 7267251.033412683, -146865.5123920323 7267296.364738842, -144861.4600511417 7270514.754762141, -145328.3447897652 7272326.056024793, -141402.1763746093 7274181.324195233, -139355.3557373919 7272730.083932424, -138145.2442082902 7273416.828894463))",0.3567043549747499,0.38564854851969294,0.24878553964745956,0.3,0.3,0.2,-1.3573738467354786,0.7572489459550167,0.7762884990454515,-0.6492572519882236,-0.09968818248693406
E06000002,Middlesbrough,-1.21099,54.54467,52908459.45587462,34964.40631271741,140980.0,2664.6022479179646,57203.0,17708.0,18554.0,9221.0,7220.0,2992.0,1084.0,239.0,185.0,2.4645560547523733,89,30,63.12952191800255,21.27961412966378,3.146202270988998,12.222951109019236,0.34662215812415953,"POLYGON ((-133681.8365390915 7245473.753564375, -132530.9329337444 7244962.213298103, -129870.8025651098 7240955.212600206, -133477.5589982355 7239125.34150256, -129276.0554649262 7235389.107956802, -129100.1817897386 7233639.543824039, -126609.7840916347 7233478.559121781, -127592.5747492162 7231149.716526583, -137463.1641348025 7232583.396430789, -142737.8440339974 7234126.513734382, -142240.6820820461 7239532.671267353, -141444.5588084373 7241356.775483584, -142035.4891010519 7242155.540798862, -142639.6974257246 7242972.12449976, -142414.7932458028 7243078.690582776, -140460.4257120345 7244004.392335068, -139391.5134412186 7247963.316617633, -133681.8365390915 7245473.753564375))",0.4155128387005249,0.3631508015321322,0.21477514541069656,1.1,4.9,0.2,0.5184546985742606,-0.472788534547143,1.4640155893104412,-0.19152119189801095,-0.03675761139307641
E06000003,Redcar and Cleveland,-1.00608,54.56752,248679106.10748956,83939.75251261092,137150.0,551.5139657157928,59605.0,18735.0,21165.0,9738.0,7119.0,2132.0,557.0,117.0,42.0,2.300981461286805,48,7,34.998177178271966,5.103900838497995,2.8878218531572974,10.11891391361491,0.39936178782026793,"POLYGON ((-133305.3448538511 7246330.356228602, -129150.0785439037 7250622.790529922, -127653.7466457937 7249583.858306481, -128854.4903312128 7250798.567631058, -128213.5242308405 7252546.627348741, -126044.3117401472 7251404.037117121, -128109.4572386915 7252662.569336011, -128498.0046079149 7255073.442468211, -126389.3388658231 7255455.731455913, -126616.6384261781 7258890.954243021, -123872.5431461808 7255074.620962079, -117170.9678087969 7252918.282813535, -111378.302282374 7248463.514434807, -107030.1114997962 7246867.654348417, -104435.2078289881 7247641.758712596, -99992.63103801165 7244252.302263694, -95002.04820148475 7244350.904180396, -88413.82723786494 7241795.840346662, -89100.47337284348 7240372.434898305, -92057.75213827877 7239905.981026065, -94469.10925837146 7236350.561212121, -94456.23659109452 7228309.796336002, -98051.17643649713 7230045.01763181, -106080.2339658181 7228321.883742886, -111696.3099937731 7231186.08009041, -115420.074313041 7229470.913710355, -121840.234742366 7231903.016174019, -124495.9544162477 7230265.480715459, -127592.5747492162 7231149.716526583, -126609.7840916347 7233478.559121781, -129100.1817897386 7233639.543824039, -129276.0554649262 7235389.107956802, -133477.5589982355 7239125.34150256, -129870.8025651098 7240955.212600206, -132530.9329337444 7244962.213298103, -133681.8365390915 7245473.753564375, -133305.3448538511 7246330.356228602))",0.3331826467371491,0.3746481954064893,0.2825373678454247,0.1,0.2,0.1,-2.2517447306378577,0.32206361074577666,0.5848943071757389,-0.7966190162207373,0.06730012561163293
E06000004,Stockton-on-Tees,-1.30664,54.556911,207159134.05294353,87075.86082386572,197348.0,952.6396260642985,79159.0,21986.0,27938.0,13583.0,10704.0,3700.0,925.0,203.0,120.0,2.493058275117169,35,16,17.735168332083425,8.107505523238137,3.037805150698932,11.128916522053892,0.3754496769694338,"POLYGON ((-133305.3448538511 7246330.356228602, -133681.8365390915 7245473.753564375, -139391.5134412186 7247963.316617633, -140460.4257120345 7244004.392335068, -142414.7932458028 7243078.690582776, -142639.6974257246 7242972.12449976, -142035.4891010519 7242155.540798862, -141444.5588084373 7241356.775483584, -142240.6820820461 7239532.671267353, -142737.8440339974 7234126.513734382, -137463.1641348025 7232583.396430789, -139890.9081486223 7230822.004145074, -139972.0115602936 7228185.565221471, -142596.4104789599 7228782.477535166, -144751.4684009393 7225992.525208093, -149570.7140694691 7223757.547240503, -149713.8734679066 7225334.745189033, -151884.8896378656 7224100.95574148, -152791.5378628905 7225315.526843116, -153732.0948963649 7229468.294684616, -155294.9963575282 7227871.859048245, -156635.1780918084 7229372.802706113, -157269.4358167158 7226249.822574866, -159421.4466521213 7226681.677977294, -159731.7571568603 7228218.531100891, -158237.8287774564 7234367.082415005, -161368.4031820714 7236918.34303805, -161050.9053033171 7241264.889521382, -157109.0858554285 7243017.659903612, -156657.665553991 7248557.714899736, -158442.7344864755 7250359.694029557, -160115.7354797947 7248816.791151018, -161513.6756705981 7251776.255155187, -157273.3235510712 7252942.011942817, -153719.3937333987 7258185.200921282, -148616.7121578683 7255768.325387606, -147926.8109285603 7258201.36760552, -146535.3827632217 7258438.077445854, -144603.9566472148 7255127.01370844, -139226.35909743 7254616.0999453, -133654.425366462 7254160.474487551, -130573.6974367983 7253891.393689486, -130015.5119830911 7255386.588951524, -129126.2459593769 7251932.340282724, -131976.5414383701 7248112.268447882, -133305.3448538511 7246330.356228602))",0.3581135861523805,0.3966698421063299,0.237661390031822,0.8,1.6,0.1,-0.5017305979612148,0.7764515970931872,0.7847514858679934,-0.18120770105786732,0.3288298687928102
E06000005,Darlington,-1.56835,54.535339,198812770.76670265,91926.83954473681,106803.0,537.2039209962435,46670.0,15101.0,16657.0,7191.0,5352.0,1717.0,507.0,98.0,47.0,2.288472251982001,25,8,23.40758218402105,7.490426298886735,2.8925109285679977,10.249863092664647,0.3931456404497318,"POLYGON ((-188899.9139066849 7237500.199732471, -189829.2097351514 7240020.956135774, -188263.2335363803 7241375.455581771, -190275.3788577472 7242703.808106614, -190242.2533158451 7244804.04378024, -188577.317483101 7247247.912696242, -186939.1291727743 7247071.463801983, -187285.3969608886 7253168.551768916, -178862.9979927563 7253124.263114686, -178802.2875701318 7250420.051025417, -176350.4134582594 7251771.188213512, -177376.4506349521 7248816.554204275, -175468.1560095804 7245964.613678579, -172858.5669151993 7246375.415948426, -173506.4693188113 7248248.989819268, -169957.5008514803 7249080.44420101, -163492.4173577459 7249867.357548934, -161601.8883092981 7248001.759663854, -160115.7354797947 7248816.791151018, -158442.7344864755 7250359.694029557, -156657.665553991 7248557.714899736, -157109.0858554285 7243017.659903612, -161050.9053033171 7241264.889521382, -161368.4031820714 7236918.34303805, -158237.8287774564 7234367.082415005, -159731.7571568603 7228218.531100891, -162359.2189822842 7231359.836350974, -164145.9398867993 7230746.279254959, -162435.4504941916 7229514.030223503, -162948.2153274399 7225553.177758614, -161792.1617862274 7224112.996480898, -162836.0776008903 7223229.540167663, -162096.7623127282 7221520.872609753, -163867.0052062155 7222122.744032045, -164236.6455099358 7225609.436548689, -166872.6710121476 7225959.816107847, -166062.6133445929 7227971.393937939, -168240.6383084913 7225832.518404341, -168551.349101048 7227507.676236943, -170188.3256664888 7227706.254652197, -169185.9740430883 7225074.615924258, -172062.4913883415 7225111.211897168, -173122.5418253174 7227737.703204799, -176215.5831454045 7230055.807339233, -175796.4096423364 7231602.584511013, -177206.3632561729 7231432.958147444, -176002.7567084889 7233067.600122072, -178403.7833114729 7232634.472780804, -179388.6475252743 7234436.694404543, -181820.3417774189 7233309.818253727, -181869.8350530555 7235463.146131426, -184196.5575688081 7235326.465144472, -184559.6738922064 7237228.800815865, -188899.9139066849 7237500.199732471))",0.33872644026853177,0.3940619645515576,0.2572493282023913,0.7,0.1,0.5,-2.0304776315358266,0.4957053095295577,0.2042615967399155,-0.2738458171614252,0.28752787271264346
E06000006,Halton,-2.68853,53.33424,80285487.96377783,66618.91396408157,129410.0,1611.872871201649,53312.0,15833.0,17938.0,9272.0,7130.0,2289.0,663.0,128.0,59.0,2.4274084633853543,56,14,43.27331736341859,10.818329340854648,3.01398635009132,10.969960588291842,0.3788330957156319,"MULTIPOLYGON (((-297800.5284663562 7014523.087587377, -292839.5540624543 7016308.530627053, -292933.6805830034 7012956.364987578, -290166.1942178746 7012391.294341261, -291559.7990707937 7010173.433821345, -288899.047812294 7008571.312735728, -290442.3196291341 7006641.154340422, -291649.9298861357 7008174.72523312, -292116.1403515072 7006144.361825224, -294446.9952317952 7006281.354960933, -294056.8913675803 7005333.450182105, -298909.6509764091 7007269.536476243, -300651.7290922336 7005476.964127855, -303181.3959379773 7006839.753387513, -304780.4900219136 7005635.344357675, -306399.2973759109 7007140.85168401, -307619.3323974811 7009542.074864638, -306611.2953395703 7012421.657140109, -302677.3138635642 7012733.782858565, -300490.4497587775 7014942.58365064, -297800.5284663562 7014523.087587377)), ((-305591.468887795 7023392.0581588, -302257.6657726225 7022821.940496607, -301987.8718041616 7021255.884219704, -299519.8282435413 7020280.575937794, -299825.4711523919 7015892.78096013, -304381.7765556964 7013280.121478614, -307741.6687735614 7014677.716821133, -307145.2288482844 7013621.110747694, -309270.0505615569 7010462.648049933, -309945.4669766514 7011170.255081084, -309211.1067093645 7009840.479558678, -310428.9899473897 7008587.14488464, -314662.4637398978 7010282.361361552, -315307.6993813748 7011329.873759268, -313785.1282577009 7011791.53241595, -313788.1394177026 7013322.271618727, -310280.9251360783 7014864.539267207, -309097.5807490024 7019474.504337698, -306980.6120489968 7019414.749812864, -305591.468887795 7023392.0581588)))",0.3596476315586122,0.393594003554594,0.24072328259021716,0.2,0.0,0.0,-0.6125351936890244,1.2512888838221858,0.9938424484398426,-0.5937204959302144,-0.05888092033205384
E06000007,Warrington,-2.56167,53.391628,178628103.8774419,71840.67010534489,210014.0,1175.705252652137,85140.0,24534.0,29885.0,14347.0,11868.0,3388.0,893.0,142.0,83.0,2.466690157387832,51,58,24.28409534602455,27.61720647194949,2.979292962323857,10.655999557283934,0.38809519752647925,"POLYGON ((-286841.7230343387 7031584.994590549, -286134.5252264465 7033900.948270824, -283761.8460539351 7034462.475484927, -284158.4750382476 7035642.879105294, -277890.814288759 7038090.203485742, -277153.7840224339 7034238.004106096, -272663.6156541989 7025962.154685423, -275900.3110567709 7022297.291034204, -270126.8580223809 7020666.525101103, -271606.3330159925 7016794.65817223, -276838.1351945407 7017025.686615661, -280642.0712553752 7013303.587046724, -280346.3470840179 7012278.570322204, -285186.7744857685 7008736.420417111, -287904.5915559284 7009862.128149377, -288899.047812294 7008571.312735728, -291559.7990707937 7010173.433821345, -290166.1942178746 7012391.294341261, -292933.6805830034 7012956.364987578, -292839.5540624543 7016308.530627053, -297800.5284663562 7014523.087587377, -299825.4711523919 7015892.78096013, -299519.8282435413 7020280.575937794, -297926.2443550947 7020696.030604322, -296505.6040503625 7028351.768183608, -297809.5138296917 7029144.256100617, -297057.6708603268 7030624.78227396, -298567.3921773583 7030250.855390066, -298021.3683331477 7032839.861375868, -293787.3561863946 7031274.368698122, -292487.8518717996 7029414.047788908, -289011.1143516266 7030952.740101314, -289284.3511439222 7032397.391773349, -287793.8717041505 7030419.666880684, -286841.7230343387 7031584.994590549))",0.3421819497747769,0.4115916081785024,0.23849362423457485,0.9,0.6,0.1,-0.6874269654551457,1.2392622311121815,0.2596766138005564,-0.2011099395501496,0.27319056628365596
E06000008,Blackburn with Darwen,-2.4636,53.700802,139386372.83770427,55099.15065699956,149696.0,1073.964383694092,57353.0,17419.0,17082.0,8808.0,7307.0,3741.0,1957.0,595.0,444.0,2.6100814255575124,41,2,27.388841385207353,1.3360410431808465,3.4627404590127857,15.002090798423652,0.300081058045905,"POLYGON ((-284009.4137426078 7089664.433064602, -274492.6018247092 7094254.047430038, -272322.8837779539 7091581.011365709, -272931.0420405872 7089676.842368837, -271627.2037068983 7088355.201924645, -270937.1883769657 7082678.362782367, -268390.2697895939 7080042.849136597, -266983.0924841868 7077496.005523864, -264319.8584656669 7076688.54635067, -263965.002326793 7072906.115683677, -263019.9490702917 7070717.194622318, -263863.9053944199 7066245.914977062, -264843.9862608683 7066121.568046317, -269582.2201383745 7064804.198324247, -271477.7725096439 7068964.152428227, -273812.7592100963 7064094.022759232, -275982.9640384796 7063531.0726287, -279559.3803477963 7065395.848438119, -281899.5081894324 7072497.797078326, -280010.5935628957 7077516.414589928, -282728.7453624858 7079490.265117702, -285156.4256558599 7087882.508539454, -284009.4137426078 7089664.433064602))",0.4109328238563489,0.39264910218041904,0.19116743266353145,13.4,12.1,1.0,3.2384228513224564,-2.124186283138238,-0.6373604935650894,0.010065807683164021,0.7635324724548337
E06000009,Blackpool,-3.02199,53.82164,33695601.82262321,30031.40850974906,139446.0,4138.4036033562115,64367.0,24446.0,20833.0,9345.0,6399.0,2321.0,743.0,171.0,109.0,2.166420681405068,42,5,30.119185921431953,3.585617371599042,2.86052583862194,10.284932003626471,0.38528681958501043,"POLYGON ((-339273.0239008343 7112112.483390866, -336157.6762626874 7110771.287836883, -335144.9191245053 7102788.090135786, -333402.9039332878 7101338.42135287, -332106.2159581031 7096695.974207618, -334391.5570465845 7096233.236822225, -333566.7597976437 7093068.257723333, -337164.9443753792 7092807.478134763, -337612.6258109987 7094263.04149592, -340315.8488732965 7093447.722641252, -339273.0239008343 7112112.483390866))",0.3492678169327195,0.3834172367798288,0.25761943691464795,0.4,0.2,0.2,-1.7989472840610359,0.5041632059059182,-0.20668112668974914,-1.0677144330843373,-0.32749886426745883
E06000010,"Kingston upon Hull, City of",-0.30382,53.769199,71407321.38338803,41191.83974404207,259778.0,3637.9742996554123,112596.0,39788.0,35562.0,17174.0,13273.0,4540.0,1660.0,365.0,234.0,2.3071689935699315,37,15,14.24293050219803,5.774161014404607,2.9891216999916876,11.117864084587893,0.367722528106686,"POLYGON ((-36870.02509184419 7086268.685723925, -46665.50360979376 7082752.743550953, -47009.84373287538 7084990.725243581, -44743.05238317204 7088461.061555849, -47014.28167845594 7088568.892133526, -46553.63618247543 7090460.606627757, -43203.5419421935 7092097.66299101, -43660.99006353257 7096192.76837898, -40030.1594574617 7096615.186494684, -40491.98814071374 7097774.091176327, -39368.89665165676 7099463.181720721, -35191.04622920739 7100355.800051854, -30973.86815167049 7094487.211144357, -28087.8358098262 7094349.630344051, -28296.75939662614 7090999.438335476, -26872.13327696552 7089385.349226139, -27529.05980389698 7086805.336433588, -27287.32543782993 7085939.271628554, -27846.61607690817 7085329.247729581, -31907.86832800668 7087063.360430303, -36870.02509184419 7086268.685723925))",0.4108892977850319,0.38573705240628536,0.19750325277737146,0.4,0.3,0.3,-0.19141470221763873,0.5299894205595417,0.5272991455328516,-0.40138526026553617,-0.31444717748411083
