,weights,features,err_weights,err_coefficients,error
0,4.356677654344125,logPOP,6.368594,14.626351189196775,3.824441291116491
1,-4.37644532337254,dPOP,0.0,5.464508436363748,2.337628806368485
2,0.5100977581845689,dHHS,4.113635,13.28867214724455,3.6453631022498363
3,-3.344385150464105,d1,0.0,12.8977509984452,3.591343898660389
4,-4.240682970182249,d2,0.0,19.095555491113725,4.36984616332357
5,8.008293898390535,d3,37.959626,10.9920804475383,3.315430657929419
6,-8.526527487410743,d4,0.0,26.75121773763816,5.172157938195445
7,0.4492818552203329,d5,0.0,1.8376322308464146,1.355592944377631
8,0.26743406824014615,d6+,99.94018799999999,12.528205747360108,3.539520553317936
9,3.251267697218583,0-29,0.0,22.82746347114852,4.777809484601549
10,-0.37418113433740785,30-59,0.0,0.03058653629166475,0.17489006916250205
11,4.639858296731469,60-89,0.0,8.04201856681232,2.835845300225723
