,weights,PCs,std_err
0,4.608950561403175,PCA0,1.153
1,4.2962434534199225,PCA2,2.574
2,-4.348036673993545,PCA5,3.708
3,-10.099041270198018,PCA7,5.436
4,-8.373587402357604,PCA8,7.263
