AreaSorted column (descending) - Apply ascending sort.,CasesUnsorted column - Apply ascending sort.,"Rate per 100,000 populationUnsorted column - Apply ascending sort."
Yorkshire and The Humber,"2,20,885","4,013.90"
West Midlands,"1,74,027","2,932.70"
South West,"83,529","1,485"
South East,"1,47,747","1,609.40"
North West,"3,15,019","4,291.10"
North East,"1,03,340","3,870.50"
London,"1,76,682","1,971.50"
East of England,"93,699","1,502.50"
East Midlands,"1,44,795","2,994.20"
