AreaSorted column (descending) - Apply ascending sort.,CasesUnsorted column - Apply ascending sort.,"Rate per 100,000 populationUnsorted column - Apply ascending sort."
Cornwall and Isles of Scilly,"3,850",673.3
Conwy,"1,782","1,520.40"
Comhairle nan Eilean Siar,82,306.9
Clackmannanshire,840,"1,629.80"
City of Edinburgh,"7,841","1,493.70"
Cheshire West and Chester,"9,279","2,704.70"
Cheshire East,"9,343","2,432.10"
Ceredigion,694,954.7
Central Bedfordshire,"3,861","1,337.60"
Causeway Coast and Glens,"3,428","2,366.80"
Carmarthenshire,"3,874","2,052.20"
Cardiff,"12,004","3,271.70"
Camden,"3,778","1,399.10"
Cambridgeshire,"7,586","1,160.80"
Calderdale,"8,414","3,979.10"
Caerphilly,"5,785","3,194.80"
Bury,"10,109","5,292.90"
Buckinghamshire,"8,128","1,494.20"
Bromley,"5,622","1,691.70"
"Bristol, City of","15,829","3,416"
Brighton and Hove,"4,220","1,450.70"
Bridgend,"4,379","2,977.90"
Brent,"6,886","2,088.10"
Bradford,"30,043","5,565.80"
Bracknell Forest,"1,611","1,314.60"
"Bournemouth, Christchurch and Poole","7,422","1,877.40"
Bolton,"15,515","5,395.60"
Blaenau Gwent,"3,090","4,423"
Blackpool,"5,383","3,860.30"
Blackburn with Darwen,"10,004","6,682.90"
Birmingham,"42,078","3,685.20"
Bexley,"5,402","2,175.70"
Belfast,"12,248","3,565.20"
Bedford,"3,480","2,008.20"
Bath and North East Somerset,"3,800","1,966"
Barnsley,"10,782","4,367.60"
Barnet,"7,610","1,922.40"
Barking and Dagenham,"5,122","2,405.80"
"Armagh City, Banbridge and Craigavon","5,229","2,418.50"
Argyll and Bute,751,874.6
Ards and North Down,"2,622","1,621.30"
Antrim and Newtownabbey,"3,531","2,460.60"
Angus,"1,243","1,069.70"
Aberdeenshire,"1,823",697.9
Aberdeen City,"2,747","1,201.30"
