,p_value,Principle Components
0,4.3305373449801545e-23,PCA0
1,0.891811726163797,PCA1
2,0.01033333374665925,PCA2
3,0.11679755148810347,PCA3
4,0.9573830369237261,PCA4
5,2.5190303200455255e-07,PCA5
6,0.13062305586910047,PCA6
7,0.806370961754721,PCA7
8,0.21058067230442823,PCA8
9,0.6835217651731395,PCA9
10,0.6536071981094653,PCA10
