code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E07000088,-1.4442432,-0.799024,-0.8741452,-0.33118993,0.15316486,-1.1903299,-0.6787173,-1.1027563,0.06680066,-0.47587755,-0.9983674,-0.96500134,-1.1128094,-0.432195,-0.9972288,-1.1091397,-0.4477506,-1.3450344,1.7833035
E07000089,-1.4970987,-0.799024,-0.9253725,-0.69473964,0.7138425,-0.7402127,-1.4912369,-1.1065485,0.003538464,-0.43042707,-0.989033,-0.85133845,-0.8718788,-0.6399788,-0.930991,-1.4951696,-1.0941913,-1.3314128,1.8492055
E07000090,-0.4686525,-0.799024,-0.9971849,-0.2807574,-0.28269485,-0.89359605,-0.64435196,-1.0421543,0.80662966,-0.5487008,-0.9916251,-0.8089697,-1.0817175,-0.38630182,-1.043055,-1.1515051,-0.44571373,-1.3117129,1.4962673
E07000091,-1.0642498,-0.799024,-1.0302135,-1.056187,-0.4204593,-0.37529162,-0.6663981,-0.8189266,1.7374411,-0.50239295,-0.938723,-0.54406554,-1.1086614,-0.08821311,-0.917016,-0.9695423,-0.8698718,-1.3117129,1.4859431
E07000092,-1.1368307,-0.799024,-0.920871,-0.28412157,0.5732789,-1.6846454,-0.97994787,-0.96442693,-1.0292397,-0.58005977,-0.9187185,-0.9684925,-1.1976721,-0.7388118,-1.0887771,-1.507467,-1.1848137,-1.3083802,1.5742623
E07000093,-0.9882136,-0.799024,-0.9962618,-1.1737164,-0.00073080766,-0.7760779,-1.0448323,-1.0819116,0.33905798,-0.5984228,-0.99387157,-0.6865359,-1.2534122,-0.37873906,-0.95631474,-1.3258346,-0.8938539,-1.3083802,1.5959867
E07000094,-0.6264872,-0.799024,-0.99497837,-1.2126626,0.5727498,-0.8593324,-0.7776068,-1.0989414,0.49455708,-0.6139293,-0.9992965,-0.17703374,-1.2710555,-0.5222971,-0.9699951,-1.2677702,-1.4137558,-1.2897086,1.5255796
E07000095,-0.34559914,-0.799024,-0.9275894,-0.28065404,0.9406554,-1.2937083,-0.76462567,-1.0812118,-0.06270218,-0.61513054,-0.9316426,-1.1348205,-1.0046787,-0.7981962,-0.99437934,-1.4431336,-0.35361728,-1.3117129,1.4529645
E07000096,-0.13818924,-0.799024,-1.0224856,-0.4822716,0.8373019,-1.2363832,-0.93834925,-1.0799416,-0.19401142,-0.5689012,-0.98339117,-0.89458835,-1.21665,-0.58469397,-0.95592463,-1.2818741,-0.69966096,-1.2937168,1.4372015
E07000098,1.6226301,-0.799024,-0.9520223,-0.37260365,1.6340324,-1.0748268,-0.8378773,-1.0829989,0.13280554,-0.611145,-0.8966012,-0.9111221,-1.0919667,-0.93891275,-1.032485,-1.443234,-0.9029951,-1.2812846,1.4673266
E07000099,-1.0287282,-0.799024,-1.0064263,-0.81783736,0.37065846,-1.0710399,-1.0730565,-1.1000406,0.17671295,-0.54558367,-0.9961697,-0.93758005,-1.2483662,-0.4626251,-0.9404653,-1.2194036,-0.41540724,-1.3264216,1.5675857
E07000102,0.43839785,-0.799024,-0.91220194,-0.3692254,0.9764956,-0.9814321,-1.2102189,-1.0872499,0.11016447,-0.6109708,-0.93525636,-0.8692141,-1.0355574,-0.8098789,-1.0068076,-1.4194547,-0.54445,-1.3083802,1.5752292
E07000103,1.0234202,-0.799024,-0.9271767,-0.41912454,2.4118264,-1.7763209,-0.70240563,-0.77568513,-0.92617875,-0.49845788,-0.8794618,-0.813079,-1.2723819,-0.9063533,-1.0885309,-1.3915905,-0.27759683,-1.2897086,1.4349655
E07000105,-0.42400515,-0.799024,-1.001813,-1.1013726,1.2929193,-0.9682298,-0.8496267,-1.1065443,-0.2198465,-0.6070267,-0.99589276,-0.9335211,-1.2696395,-0.7514806,-1.0369897,-1.4020138,-0.3206858,-1.3083802,1.3648074
E07000106,-0.4965089,-0.799024,-1.0266534,-0.6115238,-0.21817239,-1.8206077,-0.44807467,-1.1058062,0.24460167,-0.5663765,-0.99083006,-0.3211498,-1.0571504,-0.5728827,-1.0441581,-1.1950096,-1.1509813,-1.3083802,1.3194222
E07000107,0.5412191,-0.799024,-0.9668051,-0.299891,2.1304896,-1.6443022,-0.71495605,-0.90461075,-0.77697796,-0.5669702,-0.96302783,-0.96076924,-1.2247484,-0.67723775,-1.0155703,-1.3229312,-0.43395105,-1.2897086,1.3573836
E07000108,0.2773396,-0.799024,-0.982558,-0.79332274,-0.37195936,-0.808702,-0.7368882,-0.9903043,0.4045699,-0.3379803,-0.996049,-0.82169145,-0.7031766,-0.17254743,-1.0742599,-0.99189836,-1.0403382,-1.3264216,1.367789
E07000109,0.7209015,-0.799024,-0.9582039,-0.36237875,1.782722,-1.2500409,-0.726075,-1.0740411,-0.23524317,-0.6147145,-0.9230689,-0.9259895,-1.2706842,-0.9434158,-1.0935627,-1.475458,-0.24429427,-1.3083802,1.3436767
E07000110,-0.598678,-0.799024,-1.0282111,-0.7125146,0.5697542,-1.178926,-0.7650304,-1.1058545,-0.07593139,-0.613277,-1.0002766,-0.9227055,-1.2665224,-0.40155387,-0.9784306,-1.3256387,-0.9656973,-1.3083802,1.3000065
E07000111,-0.584638,-0.799024,-0.988579,-0.8666155,0.6851438,-0.6800665,-0.98575395,-1.0938846,0.4180552,-0.6132596,-0.99393964,-0.6407592,-1.133818,-0.63898456,-0.9690294,-1.348075,-0.5178869,-1.3117129,1.5429939
E07000112,0.43191302,-0.799024,-0.9734917,-0.885914,-0.45377365,-0.78801215,-0.7587815,-0.9752842,0.6229627,-0.15090843,-0.9968186,-0.5628338,-0.53286624,-0.39572304,-1.0766089,-0.916285,-0.83964527,-1.3337234,1.4455425
E07000113,0.21483284,-0.799024,-1.0192717,-0.7570467,0.89889973,-1.1484659,-0.6728201,-1.103841,-0.45538414,-0.6113473,-0.99545765,-1.0517005,-1.241033,-0.6139727,-1.024581,-1.313531,-1.0267482,-1.3117129,1.2738365
E07000114,-0.058586184,-0.799024,-1.0145222,-0.31235144,0.12589888,-0.87602687,-0.5525581,-1.0164733,0.49050215,0.026079923,-1.0000917,-0.7171406,-0.7004739,-0.25894237,-1.0493313,-0.8365199,-0.9058742,-1.3083802,1.2785804
E07000115,-1.2784617,-0.7990251,-1.0033233,-0.60201347,1.2541625,-0.88579625,-1.1079189,-1.104949,-0.15813509,-0.5482825,-0.99397343,-0.9021719,-1.1239111,-0.6925591,-0.9778488,-1.4534031,-0.56353635,-1.320926,1.4403479
