code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases
E07000170,0.7157461,-1.7754705,-1.9577326,-1.9217798,-1.2952783,-1.2476689,-2.7648728,-1.4483879,-1.8906999,-0.6934222,-2.8813572,0.5936332,-1.4305884,-1.2177457,-2.318165,-1.2483004,-2.14668,-1.2553289
E07000171,0.24716546,-1.7754705,-1.9909751,-1.6936239,-1.9111003,-0.9714512,-2.537942,-1.4409685,-2.3547006,-0.6885975,-3.0503857,-0.57020694,-1.4066232,-1.2177925,-2.4702516,-1.32745,-2.302004,-1.2553289
E07000172,0.065538086,-1.7754705,-2.0030696,-1.9915979,-2.2635114,-1.2858742,-2.9278104,-1.4251972,-2.3887913,-0.69341606,-3.0226943,-0.11056901,-1.7631438,-1.2178565,-2.4928143,-1.256668,-1.9741238,-1.3000954
E07000173,0.19933167,-1.7754705,-1.9878155,-1.871841,-1.8437903,-1.1239702,-2.5996168,-1.425544,-2.4002712,-0.725767,-3.0351436,-0.32785487,-1.4424759,-1.2175856,-2.40923,-1.4356945,-1.8476264,-1.3307961
E07000174,0.5550391,-1.7754705,-2.0185223,-1.9909817,-1.5238272,-1.2914424,-2.9004383,-1.4444222,-2.053571,-0.7162371,-2.7738056,0.65218484,-1.3779846,-1.2177805,-2.3251677,-1.3320928,-2.0697505,-1.1572483
E07000175,-0.18434681,-1.7754705,-1.9754202,-1.6925678,-1.7710254,-1.0006897,-2.6804707,-1.4373696,-2.3572805,-0.69809777,-3.1413062,-1.1650928,-1.365867,-1.213504,-2.3813863,-1.3310955,-2.3208966,-1.226373
E07000176,-0.4296395,-1.7754705,-1.9881963,-1.6851783,-1.5809743,-1.0412025,-2.4896185,-1.4297154,-2.5203137,-0.65815425,-2.5372796,-2.1714761,-2.3744779,-1.2116455,-2.3097289,-0.9749351,-2.3214953,-1.2407597
E07000177,-0.6178234,-1.7754705,-1.8950106,-1.6839594,-0.85057855,-1.230376,-2.6356816,-1.5403366,-2.096945,-0.5982886,-2.0237882,-0.9186993,-2.2096288,-1.2035328,-1.8943813,-0.5744853,-2.31941,-1.3780702
E07000178,-0.3113256,-1.7754705,-1.8818,-2.3744025,-0.8335974,-2.5188732,-5.228421,-2.5701463,-1.1637263,-0.6981181,0.7478042,-3.631674,-0.8057425,-1.1797099,-1.0982953,-0.82153237,-0.61259496,-1.4267348
E07000179,-1.1165065,-1.7754705,-1.9183948,-1.6879691,-1.1627078,-0.9189428,-2.3341722,-1.432491,-2.5194504,-0.6056479,-2.2696044,-2.0492947,-2.6347508,-1.189714,-2.3100402,-0.6786649,-2.3205612,-1.3780702
E07000180,-0.61090976,-1.7754705,-1.9378359,-1.6848866,-1.0804782,-1.1137301,-2.7181406,-1.4577606,-2.450563,-0.63588214,-2.4207242,-1.231051,-2.097327,-1.2109638,-2.2320082,-0.9054441,-2.3081133,-1.3621509
E07000181,-0.6164806,-1.7754705,-2.0151386,-1.7054178,-1.5912846,-1.0295569,-2.6558902,-1.4242301,-2.5627477,-0.6407833,-2.8161101,-1.5247905,-2.024316,-1.2109866,-2.387367,-1.0021353,-2.315367,-1.3307961
E07000187,-1.2731664,-1.7754705,-1.9975755,-1.7045692,-1.5104369,-0.7480367,-2.5834844,-1.4610132,-2.6136067,-0.71896297,-2.774945,-2.3305914,-1.3818197,-1.2012107,-2.2915714,-1.3837937,-2.26996,-0.80864334
E07000188,-0.89112926,-1.7754705,-1.9714775,-1.6863093,-1.7241275,-0.8606667,-2.905745,-1.4801913,-2.6196792,-0.69904727,-3.2463832,-1.9074128,-1.3706198,-1.2066423,-2.137108,-1.2709534,-2.2301216,-1.1843283
E07000189,-1.1584923,-1.7754705,-1.8496394,-1.6962763,-2.0558019,-0.82219934,-3.1209316,-1.5534451,-2.6923192,-0.72098446,-3.4961727,-2.3172822,-1.1919771,-1.2167746,-2.2784758,-1.4889324,-2.321123,-1.1181015
E07000192,0.37326685,-1.7754713,-2.0503309,-1.9523523,-1.8001827,-1.2861135,-2.5524628,-1.4551069,-1.9564396,-0.65824634,-2.305884,0.65004843,-2.0536911,-1.2134489,-2.3032894,-0.9599946,-1.89394,-1.3000946
E07000193,0.34695283,-1.7754713,-1.9852034,-1.6869239,-1.0487728,-1.196848,-2.790835,-1.460442,-2.1293416,-0.7026201,-2.127202,-0.9662673,-1.3472307,-1.2003208,-1.7040658,-1.0702621,-2.31726,-1.3621536
E07000194,-0.12368134,-1.7754705,-2.0360677,-1.6878276,-2.2755997,-0.91561323,-2.659095,-1.4917974,-2.4927258,-0.59188575,-3.109241,-0.8301673,-1.859579,-1.2092407,-2.3361301,-0.8422173,-2.3155997,-1.3941417
E07000195,0.38644412,-1.7754705,-1.9505441,-1.7611817,-2.292491,-1.42655,-3.2580593,-1.4347702,-2.3716152,-0.73021597,-2.3202195,-0.28837994,-1.2864372,-1.2178574,-2.4347942,-1.4717438,-2.2175398,-1.2850002
E07000196,0.27383897,-1.7754705,-2.0070207,-1.6844201,-3.0561085,-0.92327946,-2.5228453,-1.5233592,-2.6365182,-0.6145494,-2.836185,-0.9218558,-2.285002,-1.214784,-2.5192595,-0.9168685,-2.318247,-1.4103638
E07000197,0.4917204,-1.7754705,-1.9315585,-1.6852436,-2.4267714,-1.1107382,-2.6880949,-1.4362242,-2.4520872,-0.711781,-2.9782825,-1.1040432,-1.5306691,-1.2176592,-2.4550424,-1.400581,-2.3066435,-1.2553289
E07000198,-0.14995152,-1.7754705,-2.0567725,-1.6978251,-2.7562873,-0.73580706,-2.3598921,-1.5796274,-2.5823748,-0.6997715,-3.4111917,-0.8726791,-1.6450754,-1.2153462,-2.5183232,-1.3843393,-2.2026627,-1.1843283
E07000199,0.11710093,-1.7754705,-2.1432054,-2.2248225,-1.0104412,-1.271125,-2.9931793,-1.4411007,-1.6273037,-0.6326455,-2.099768,0.6576036,-2.085795,-1.1961806,-2.135154,-0.74917066,-1.639584,-1.3153611
E07000200,-1.2865286,-1.7754705,-2.0837355,-1.7053709,-2.260255,-0.60445815,-2.6990626,-1.595125,-2.6980813,-0.69788826,-3.5638125,-2.3358493,-1.4925759,-1.2095286,-2.4694302,-1.3632402,-2.3129668,-1.1054536
E07000202,-0.64682585,-1.7754705,-1.9268005,-2.3870256,-0.6989908,-1.5416367,-3.4417396,-1.717305,-2.02284,-0.7347381,-1.9659076,-0.65364873,-1.2403748,-1.2055304,-1.9153985,-1.3977122,-2.2852476,-1.3000954
E07000203,-1.3242925,-1.7754705,-2.0414732,-1.730419,-2.4084837,-0.7997467,-2.6600537,-1.549176,-2.6020696,-0.62360895,-3.6325693,-2.8149667,-1.9256343,-1.2033286,-2.365797,-1.0443735,-2.288892,-1.1181015
E07000207,-0.80096686,-1.7754705,-1.9294025,-1.9973185,-0.25365084,-0.6773745,-1.446149,-1.6194215,-2.4496582,-0.6534785,-1.1941764,-1.9619584,-3.1601286,-1.1353029,-2.3208241,-0.58391106,-2.1646633,-1.4432486
E07000208,-0.6778931,-1.7754705,-2.1298459,-2.2012632,-0.44386882,-1.0443767,-2.3319623,-1.5762931,-2.23947,-0.60910386,-1.0318503,-1.0494817,-3.1047664,-1.1467129,-2.2245336,-0.39093977,-2.2870984,-1.3463933
