code,population,dPOP,dHHS,1,2,3,4,5,6,7,8,households,d_general,0-29,30-59,60-89,Indian,Pakistani,Bangladeshi,6+,logPOP,d1,d2,d3,d4-d5,d6+,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA,PCR,error,perror,Actual,Predicted
E06000001,93663.0,-0.06809765285125813,-1.0649803953444368,13392.0,13478.0,6629.0,4759.0,1526.0,469.0,107.0,74.0,40434.0,36.30035339461687,-0.20230442166724674,-0.37419965503696545,0.3632109201977738,-0.4420294400937295,0.01996538122893917,0.17887617535847153,650.0,-1.309801529330394,0.6060705588049607,-0.07850614380763184,0.5177329549848994,-0.7444267830446007,-0.5374205755617042,1.083456479834287,-0.8802453835396459,0.6525623393849852,0.3809649654417546,1.0639011958772906,0.6098046560786448,0.7294993135299396,-0.3166033160213381,-0.193615353156482,0.28520134313803325,0.08335213599343536,-0.3128883284455703,0.008673701828300988,7.437304616190996e-15,3.56774898224427,38.614958449588954,-2.314605054972084,-6.0,36.30035339461687,38.14555864487385
E06000002,140980.0,0.628083956214515,-0.35115986641232366,17708.0,18554.0,9221.0,7220.0,2992.0,1084.0,239.0,185.0,57203.0,63.12952191800255,1.0958869206839195,-1.1603283749835076,-0.2558572456785634,0.117036681088861,0.842112579136359,0.17887617535847153,1508.0,-0.7925806489934923,0.055601409189771876,-0.3352176389641903,0.32065590396853044,0.10057279453110973,0.15656195004593979,-0.738033487285274,-0.580920134843135,-0.03525764590520633,-0.7107580704337986,1.0575692987594874,1.3841841002811137,0.3869278215613527,-0.08877742153447331,-0.09309445172795291,-0.2843059126057852,0.11080866848911573,0.28943308041088794,-0.019887491477623285,-3.3355533321832094e-14,0.4054529920720913,35.796540326325534,27.33298159167702,76.4,63.12952191800255,38.037021863839996
E06000003,137150.0,-0.45392838786331396,-1.13948879596017,18735.0,21165.0,9738.0,7119.0,2132.0,557.0,117.0,42.0,59605.0,34.998177178271966,-0.7215437568242603,-0.758580078402209,0.9775725836359985,-0.9147294669332753,-0.09937483040608738,-0.011876062226215263,716.0,-0.8274185198373593,0.17654679655893596,0.5434050765875963,0.47681460934569525,-0.7529703432407618,-0.8115388665033352,2.1595120195258586,-0.158562054276796,0.24492035792261616,0.3073700542507869,0.8029526582002157,0.5813154792012273,0.7126272517149059,-0.3366903258572359,-0.5218422965397279,0.30714006442088093,0.21901893197301975,-0.07315709960781137,-0.0031251309758568682,-8.5821646963591e-15,-3.3962351859119844,32.40825950342787,2.589917674844095,8.0,34.998177178271966,32.01517539745594
E06000004,197348.0,-0.078473585310979,-0.21379669531175835,21986.0,27938.0,13583.0,10704.0,3700.0,925.0,203.0,120.0,79159.0,17.735168332083425,-0.1711957856632625,0.010912481934280962,0.16072556082364628,-0.019991287675598882,0.5126777683707806,-0.011876062226215263,1248.0,-0.3671434462068968,-0.7537235101370569,0.4818715885032403,1.0659493547417669,0.22652608768708546,-0.5583238709698383,0.17913684900155008,1.0031561464583358,0.10837889456900653,0.7362614934775301,0.6359071929714931,0.7071411953193933,0.36711430306013926,0.27212524895007467,-0.2284005802141275,0.0230597870788588,0.21267211710724632,0.03735681939772991,-0.008540651613782735,-1.5136922831039803e-14,0.4678554790940548,35.852156973504044,-18.11698864142062,-50.5,17.735168332083425,34.39181751409175
E06000005,106803.0,-0.4719873543553473,-1.1997754906834661,15101.0,16657.0,7191.0,5352.0,1717.0,507.0,98.0,47.0,46670.0,23.40758218402105,-0.5991650741875393,-0.08021341814113446,0.5172715294512535,-0.07744857234558206,-0.30338193972783917,0.431046850659,652.0,-1.143746899607111,0.41183228689097706,0.5955083052930187,-0.18961413647325018,-0.8897798371960555,-0.6794428504490784,1.7037576842580011,-0.874880836913216,0.07020664124892687,0.6878599608585192,0.9884728112138932,-0.16138222116275885,0.5638533812467699,0.05381128243029116,0.06501778980741353,-0.07927450135184433,0.21629611690772693,-0.4161311456134898,0.008755135580111102,7.846741482368167e-15,-4.542859850262435,31.38632235882485,-7.9787401748038,-25.4,23.40758218402105,29.889686977487884
E06000006,129410.0,0.28279326739497085,-0.5301884081754864,15833.0,17938.0,9272.0,7130.0,2289.0,663.0,128.0,59.0,53312.0,43.27331736341859,-0.13733188816116235,-0.09656517015129423,0.2164591167783483,-0.616492370777651,-3.0143947058795177,-2.5467472879563178,850.0,-0.9008938072045178,-0.26428487970408376,0.011224384565729533,1.2328998486516967,0.03302789604506378,-0.5463057770067843,1.857280200566168,0.9927180219027115,2.8608320284207416,-0.44530323625650897,-0.9807791961785721,0.7705055484468296,0.3344903627763409,-0.4413258511530533,2.0513234744165807,-0.0439682336889239,0.26279855594222135,-0.36147554766225515,-0.018835684994121284,-3.263259404584605e-14,5.89893990257201,40.69264844415555,2.58066891926304,6.3,43.27331736341859,40.10523516627764
E06000007,210014.0,0.06604732574781784,-0.3408748043466766,24534.0,29885.0,14347.0,11868.0,3388.0,893.0,142.0,83.0,85140.0,24.28409534602455,-0.5228850506226151,0.5323170860550664,0.17587415621748795,0.0306897093223077,0.22398230094548827,-0.011876062226215263,1118.0,-0.28846202540720267,-0.48879591754519286,0.42683608576626114,0.8450423656412,0.1249200389292496,-0.736053270022665,0.34102788231721154,0.7195615891858792,0.2926609988152234,1.2080521110840903,0.3333277505733345,0.2717238687278656,0.330437510906875,0.16248850790075087,-0.06896052994216453,0.029764906291417426,0.15210276004608048,0.08221833807842456,-0.011362601799287024,-1.9675742823043032e-14,4.464645337865582,39.41432351573963,-15.130228169715082,-38.4,24.28409534602455,37.10523567564866
E06000008,149696.0,0.003872397747579077,0.3501829115724321,17419.0,17082.0,8808.0,7307.0,3741.0,1957.0,595.0,444.0,57353.0,27.388841385207353,0.9947835552872836,-0.12958243664320587,-0.685572447718924,1.1927497622228476,1.1081879774175214,0.6218100959393221,2996.0,-0.7167034185640703,-0.09315743502439539,-1.0931958710183767,-0.22594291453879695,0.6170653626580722,1.9022421747651488,-2.471596908043724,-0.37105771823225997,-0.3505578875189613,-0.9537055536316329,1.3980779797787382,-0.2017095420688921,-0.5589474146461724,-0.4207269991621646,0.03149003067024392,-0.4801378371667559,-0.0298671641571217,-0.638507839796729,-0.02031584634066473,-3.600224784102959e-14,9.963100724660876,44.31485982235381,-16.926018437146457,-38.2,27.388841385207353,48.430015199501014
E06000009,139446.0,0.9305083777990708,-1.787988989760878,24446.0,20833.0,9345.0,6399.0,2321.0,743.0,171.0,109.0,64367.0,30.119185921431953,-0.3664652483303847,-0.4521673841091672,0.5240083676095096,-0.3182445184267096,-0.09937483040608738,0.17887617535847153,1023.0,-0.8064190090818032,1.8418147176912607,-0.3550570507706324,-0.8277224267463124,-1.4752789679502423,-0.5497221880945546,1.4459552190252618,-2.820226220256214,0.26623442956731413,0.5004628858314366,0.36136402611953566,0.38292006856028665,0.4068125585893773,-1.1028906691267994,-0.0035313327021781193,0.0283577014443386,0.1985926414045703,0.2941058318985578,-0.005315940375285653,-1.2525603351037274e-14,10.45717073544862,44.75520312889208,-14.636017207460124,-32.7,30.119185921431953,45.62066855749686
E06000010,259778.0,0.8419747607723165,-1.1096686961637632,39788.0,35562.0,17174.0,13273.0,4540.0,1660.0,365.0,234.0,112596.0,14.24293050219803,0.9938227216563107,-0.37110710327541935,-0.5702458064017943,-0.3182445184267096,0.01996538122893917,0.2904625434948303,2259.0,-0.019484997454251855,1.1697895894746624,-0.578685774821147,-0.301064187064974,-0.6432372400782526,-0.26842047010769227,-0.18414027953563925,-1.987705949063281,0.1439794051058133,-0.12041476553836349,-0.35636694794558743,0.9607059948607762,0.6624622543875078,-0.3565307616094802,-0.0631966272296233,-0.3855790607033686,-0.2570605764036455,-0.04330382181919235,-0.019195955475958162,-3.3424448823741096e-14,5.11167246548478,39.99099090816349,-25.74806040596546,-64.4,14.24293050219803,41.31460110259823
