,weights,features,err_weights,err_coefficients,error
0,3.636824395394031,logPOP,-3.2682314860019375,2.5138448127279047,1.5855108995929055
1,-2.6075705604950223,dPOP,0.0,4.7631992805922785,2.1824754936979884
2,2.3483522835619905,dHHS,9.129082294063652,-0.8847049700576374,
3,4.252523190414266,d1,12.216245970930142,3.555437648071331,1.8855868179618065
4,2.280125681953691,d2,0.0,-1.7351326733237582,
5,2.218050851164124,d3,0.0,1.6795466447885998,1.2959732423119699
6,2.4170213936757534,d4-d5,0.0,1.3065047123504032,1.1430243708470975
7,6.724282069882807,d6+,15.610950120175264,4.368511349154188,2.09009840657185
8,2.867090425686716,0-29,0.0,0.44807358390010893,0.6693829874594281
9,5.045482091422375,30-59,0.0,5.4746436622442864,2.339795645402454
10,-5.542280386377663,60-89,0.0,3.7322451508253534,1.9319019516593883
11,5.370734840230354,Indian,0.0,2.785696879020701,1.6690407062204027
12,-0.16372602406461928,Pakistani,0.0,0.0022389426671339703,0.04731746682921615
13,0.9536350654435154,Bangladeshi,0.0,5.677941876206127,2.382843233661444
