,p_value,Principle Components
0,6.800509282209426e-22,PCA0
1,0.9392622722936712,PCA1
2,0.0003589740587590721,PCA2
3,0.4008152872749048,PCA3
4,0.5806013549616559,PCA4
5,0.010642282841034518,PCA5
6,0.7700550533061543,PCA6
7,6.752401181889277e-05,PCA7
8,0.03116027268740264,PCA8
9,0.47486998281338333,PCA9
10,0.9679031386287253,PCA10
11,0.2004674202188003,PCA11
12,0.8219191344537456,PCA12
13,0.8058064374089106,PCA13
14,0.7944422212359846,PCA14
