,weights,features,err_weights,err_coefficients,error
0,0.8406152031019429,logPOP,-3.55825514844714,9.76209027881569,3.1244343934247825
1,-1.8513326358027173,dPOP,0.0,25.515942831230753,5.05133079804033
2,-7.096883193762266,dHHS,4.549807737185041,2.723042847556198,1.6501644910602695
3,1.041970100348006,d1,7.54323776461819,0.6567824769726873,0.8104211725841616
4,-9.316439659737936,d2,0.0,15.203554382915854,3.899173551269019
5,1.3925588899865553,d3,40.62375285486519,3.534814942266589,1.8801103537469785
6,-3.809740887028094,d4-d5,88.11167420668377,17.365705682046748,4.167217978705548
7,-4.867723877689692,d6+,0.0,18.6210917972401,4.315216309438045
8,7.8266642280800305,0-29,0.0,22.13113000428644,4.704373497532529
9,-0.40814722344020393,30-59,0.0,0.04618196506153441,0.21489989544328403
10,1.7139556353816836,60-89,0.0,21.709880206512018,4.659386247834796
