,r2_value,Principle Components
0,0.41743602695849763,PCA0
1,0.0037336415903382303,PCA1
2,0.037982409130419115,PCA2
3,0.030290993520986468,PCA3
4,0.0019016523942163232,PCA4
5,0.00048208469160162317,PCA5
6,0.000329666884852515,PCA6
7,0.14691373797936286,PCA7
8,0.0020059149273326405,PCA8
9,0.013439930012404379,PCA9
10,0.002078340276314565,PCA10
11,0.007658618446549825,PCA11
12,0.0002959719445070187,PCA12
13,0.0011439563603801038,PCA13
