code,Actual,Predicted
E06000001,36.30035339461687,40.264965706790974
E06000002,63.12952191800255,37.416444187045954
E06000003,34.998177178271966,34.91164628022568
E06000004,17.735168332083425,35.85296708760408
E06000005,23.40758218402105,28.656748584494224
E06000006,43.27331736341859,43.24266404297188
E06000007,24.28409534602455,36.31678255637458
E06000008,27.388841385207353,44.517753912144826
E06000009,30.119185921431953,42.83293239258529
E06000010,14.24293050219803,37.9105626407714
E06000011,21.689875810805663,16.293626230894596
E06000012,13.787657539655184,27.336195616070277
E06000013,15.671070043878997,25.33634429879288
E06000014,23.73966137747011,10.6626661094739
E06000015,44.69456125486782,33.10576748414093
E06000016,29.35995302407516,48.288198063624264
E06000017,10.01828336714504,5.902877676180861
E06000018,24.93241213577651,29.945135575522805
E06000019,15.0414157602917,17.986246055712442
E06000020,17.79220923638062,32.266841477104336
E06000021,16.772306192101414,38.51611990525585
E06000022,13.969226311813827,13.072526702854937
E06000023,16.617138960285036,23.420987050092737
E06000024,15.810129643063073,20.709201199133368
E06000025,21.045764013848114,23.430539542983297
E06000026,12.590614269362838,27.923054724646406
E06000027,12.475782304937475,26.391178705968848
E06000030,22.05289995634426,33.4013791534565
E06000031,13.349220553844328,33.50401885352941
E06000032,59.14049152319622,58.32355716815737
E06000033,49.14675767918089,39.29122029088494
E06000034,45.88708335962281,45.23659559143939
E06000035,32.309481755912635,42.443255864793244
E06000036,29.376004700160752,33.21835399551845
E06000037,27.769012306721365,25.57597015502427
E06000038,32.760539003585116,32.732900445824114
E06000039,46.81053103203846,71.11531761974749
E06000040,38.303549021938686,35.291381911577396
E06000041,24.544322956539016,28.589657737948173
E06000042,33.02938873363839,39.66012437358536
E06000043,18.56403733434175,26.950302515568197
E06000044,23.731416207161303,34.58940051471873
E06000045,26.928560114050374,29.219926583466744
E06000046,16.22334610040135,21.391873798120578
E06000047,36.78592853342992,30.18497025442148
E06000049,37.22484849746975,31.23762967921337
E06000050,37.89303088864987,29.510862244585127
E06000051,17.02069716775599,20.40340286946997
E06000052,16.152309253517515,20.604905626385282
E06000053,0.0,4.0392944730823075
E06000054,18.9990880437739,19.069634973204224
E06000055,34.04658033838839,37.48939006300641
E06000056,37.069371691471964,31.828998905091446
E06000057,26.672125148092324,19.861691816051067
E06000058,15.177155345773542,30.367243199041376
E06000059,14.002346053451975,14.719347399405542
E06000060,28.126395979212205,29.343411759755774
E08000001,42.42740392975135,41.56079692394996
E08000002,49.74082412691764,40.30882839321722
E08000003,31.291941149445247,35.25095477941891
E08000004,46.39196997174307,46.11474710778562
E08000005,48.558531014513605,42.598306836862854
E08000006,52.156980922135425,33.26838414933306
E08000007,43.282223956540555,39.09041448940067
