code,population,dPOP,dHHS,1,2,3,4,5,6,7,8,households,d_general,0-29,30-59,60-89,Indian,Pakistani,Bangladeshi,6+,logPOP,d1,d2,d3,d4-d5,d6+,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA,PCR,error,perror,Actual,Predicted
E06000001,93663.0,-0.06809765285125813,-1.0649803953444368,13392.0,13478.0,6629.0,4759.0,1526.0,469.0,107.0,74.0,40434.0,36.30035339461687,-0.20230442166724674,-0.37419965503696545,0.3632109201977738,-0.525864386783544,-0.4941451912563865,-0.2502401644738388,650.0,-1.309801529330394,0.6060705588049607,-0.07850614380763184,0.5177329549848994,-0.7444267830446007,-0.5374205755617042,-1.3573738467354786,-0.7697468481722917,0.7572489459550167,-1.0321551766785795,0.00328745089657706,0.7762884990454515,0.05064106589768764,-0.6492572519882236,-0.09968818248693406,0.32059765823055186,0.0009195547364281298,0.14773013626038778,0.010412577876921802,-1.3602879507828917e-14,3.9814369878778573,39.54121137916537,-3.240857984548498,-8.200000000000001,36.30035339461687,36.95257664602394
E06000002,140980.0,0.628083956214515,-0.35115986641232366,17708.0,18554.0,9221.0,7220.0,2992.0,1084.0,239.0,185.0,57203.0,63.12952191800255,1.0958869206839195,-1.1603283749835076,-0.2558572456785634,-0.3458949725134093,0.87507745220403,-0.2502401644738388,1508.0,-0.7925806489934923,0.055601409189771876,-0.3352176389641903,0.32065590396853044,0.10057279453110973,0.15656195004593979,0.5184546985742606,-0.5115306335504485,-0.472788534547143,-0.9217495087246426,-0.9587988607414011,1.4640155893104412,-0.1507013865889637,-0.19152119189801095,-0.03675761139307641,-0.41253933444492935,0.024080399635878907,-0.2480477863131315,-0.020672594145194394,4.270575557714571e-14,-1.9774315624205125,33.8648369571207,29.26468496088185,86.4,63.12952191800255,32.17372459074219
E06000003,137150.0,-0.45392838786331396,-1.13948879596017,18735.0,21165.0,9738.0,7119.0,2132.0,557.0,117.0,42.0,59605.0,34.998177178271966,-0.7215437568242603,-0.758580078402209,0.9775725836359985,-0.5708567403510776,-0.5239109008968303,-0.28634654350134014,716.0,-0.8274185198373593,0.17654679655893596,0.5434050765875963,0.47681460934569525,-0.7529703432407618,-0.8115388665033352,-2.2517447306378577,0.003777392964988177,0.32206361074577666,-0.7003619394008946,0.03503296880754561,0.5848943071757389,-0.004836109422236411,-0.7966190162207373,0.06730012561163293,0.11706322096943529,-0.04427875090744757,0.1994994525073965,0.0006383620991398647,3.94219933710169e-15,-2.874718931558015,33.010087598512875,1.988089579759091,6.0,34.998177178271966,31.88291362217941
E06000004,197348.0,-0.078473585310979,-0.21379669531175835,21986.0,27938.0,13583.0,10704.0,3700.0,925.0,203.0,120.0,79159.0,17.735168332083425,-0.1711957856632625,0.010912481934280962,0.16072556082364628,-0.41338350286470976,-0.10719096593061665,-0.28634654350134014,1248.0,-0.3671434462068968,-0.7537235101370569,0.4818715885032403,1.0659493547417669,0.22652608768708546,-0.5583238709698383,-0.5017305979612148,1.053740816089519,0.7764515970931872,-0.2099189704352165,-0.01240959830785543,0.7847514858679934,-0.17750422253278328,-0.18120770105786732,0.3288298687928102,-0.08095884766494409,-0.041993210304018994,-6.825403006756325e-05,-0.007232445644602571,1.630957018905827e-14,-0.4118987885187173,35.3561519810448,-17.620983648961378,-49.8,17.735168332083425,32.62681087776544
E06000005,106803.0,-0.4719873543553473,-1.1997754906834661,15101.0,16657.0,7191.0,5352.0,1717.0,507.0,98.0,47.0,46670.0,23.40758218402105,-0.5991650741875393,-0.08021341814113446,0.5172715294512535,-0.4358796796484766,-0.5536766105372741,-0.1419210273913346,652.0,-1.143746899607111,0.41183228689097706,0.5955083052930187,-0.18961413647325018,-0.8897798371960555,-0.6794428504490784,-2.0304776315358266,-0.6807610680631075,0.4957053095295577,-0.756625218061856,0.44010560512872354,0.2042615967399155,-0.0901586405914924,-0.2738458171614252,0.28752787271264346,0.30662106708959125,0.10825589801283846,-0.1486189606550436,0.010569405028584302,-1.4264730116208432e-14,-6.769974890005326,29.299495377320095,-5.891913193299047,-20.1,23.40758218402105,28.180130337714775
E06000006,129410.0,0.28279326739497085,-0.5301884081754864,15833.0,17938.0,9272.0,7130.0,2289.0,663.0,128.0,59.0,53312.0,43.27331736341859,-0.13733188816116235,-0.09656517015129423,0.2164591167783483,-0.5483605635673108,-0.583442320177718,-0.32245292252884156,850.0,-0.9008938072045178,-0.26428487970408376,0.011224384565729533,1.2328998486516967,0.03302789604506378,-0.5463057770067843,-0.6125351936890244,0.41138201414375886,1.2512888838221858,-0.6250490338194953,-0.030269551649413556,0.9938424484398426,0.13281736694230684,-0.5937204959302144,-0.05888092033205384,-0.06643917823526274,0.04880826322715458,0.10897744001898163,-0.024262666146824288,4.855174318120935e-14,9.320946970174283,44.62758937759294,-1.3542720141743487,-3.0,43.27331736341859,40.659513304640484
E06000007,210014.0,0.06604732574781784,-0.3408748043466766,24534.0,29885.0,14347.0,11868.0,3388.0,893.0,142.0,83.0,85140.0,24.28409534602455,-0.5228850506226151,0.5323170860550664,0.17587415621748795,-0.39088732608094295,-0.40484806233505505,-0.28634654350134014,1118.0,-0.28846202540720267,-0.48879591754519286,0.42683608576626114,0.8450423656412,0.1249200389292496,-0.736053270022665,-0.6874269654551457,0.7606104643596583,1.2392622311121815,-0.049075407369471954,0.2054858678323946,0.2596766138005564,-0.22221098639555417,-0.2011099395501496,0.27319056628365596,-0.10757572152591093,-0.08671934906054032,-0.013250442849232366,-0.010088548264427987,2.2138776796216535e-14,3.740027598364843,39.31124656750587,-15.027151221481319,-38.2,24.28409534602455,36.709231547942174
E06000008,149696.0,0.003872397747579077,0.3501829115724321,17419.0,17082.0,8808.0,7307.0,3741.0,1957.0,595.0,444.0,57353.0,27.388841385207353,0.9947835552872836,-0.12958243664320587,-0.685572447718924,2.4211347718899114,3.018208546315986,0.03861086774617231,2996.0,-0.7167034185640703,-0.09315743502439539,-1.0931958710183767,-0.22594291453879695,0.6170653626580722,1.9022421747651488,3.2384228513224564,-0.1113026286477784,-2.124186283138238,-2.1808909453373513,-0.5286543363818169,-0.6373604935650894,-0.9352557169354129,0.010065807683164021,0.7635324724548337,0.5264709611988893,-0.12733959304232392,-0.36646750488427166,-0.01926233503641487,3.857700675213167e-14,-5.2846470977701046,30.714407724694148,-3.3255663394867945,-10.8,27.388841385207353,38.01484245052231
E06000009,139446.0,0.9305083777990708,-1.787988989760878,24446.0,20833.0,9345.0,6399.0,2321.0,743.0,171.0,109.0,64367.0,30.119185921431953,-0.3664652483303847,-0.4521673841091672,0.5240083676095096,-0.5033682099997772,-0.5239109008968303,-0.2502401644738388,1023.0,-0.8064190090818032,1.8418147176912607,-0.3550570507706324,-0.8277224267463124,-1.4752789679502423,-0.5497221880945546,-1.7989472840610359,-2.6458129272902293,0.5041632059059182,-0.6846469660502572,-0.4878929190060438,-0.20668112668974914,-0.08199785293833373,-1.0677144330843373,-0.32749886426745883,-0.3057595346465401,0.10494561864669176,-0.016034858941694832,-0.005135378470612681,1.544800551062961e-14,8.539907227140905,43.8835766539471,-13.76439073251515,-31.4,30.119185921431953,44.23766552922035
E06000010,259778.0,0.8419747607723165,-1.1096686961637632,39788.0,35562.0,17174.0,13273.0,4540.0,1660.0,365.0,234.0,112596.0,14.24293050219803,0.9938227216563107,-0.37110710327541935,-0.5702458064017943,-0.5033682099997772,-0.4941451912563865,-0.21413378544633735,2259.0,-0.019484997454251855,1.1697895894746624,-0.578685774821147,-0.301064187064974,-0.6432372400782526,-0.26842047010769227,-0.19141470221763873,-1.9389667066731473,0.5299894205595417,0.1572765750475722,-1.1069243947695404,0.5272991455328516,0.3377478172386929,-0.40138526026553617,-0.31444717748411083,0.08693214839551075,0.09200711740850273,-0.4677955637632286,-0.017104548245348194,3.7353725076916896e-14,8.196773618602828,43.556710098256445,-29.313779596058417,-67.30000000000001,14.24293050219803,41.727711032939446
E06000011,341173.0,-1.3874414023633708,-0.733166732447908,39276.0,57418.0,21535.0,18017.0,5105.0,1309.0,261.0,111.0,143032.0,21.689875810805663,-1.677654254098811,-0.6774488446576846,1.6970202239733794,-0.525864386783544,-0.5536766105372741,-0.32245292252884156,1681.0,0.32526870476692976,-0.8338155889382409,1.8683694839283147,-0.4421062761728921,-0.5168236085650615,-0.8290660914380444,-3.3577719685730245,1.450663607143748,-0.6404818294708446,0.30405873125472616,0.5596564152930453,-0.47680658387784397,-0.22835259637904243,-0.1134262960725044,0.4033103018298641,-0.1970657471939756,0.23163732317183733,0.04121245220152507,-0.02356965403051377,4.684501158212067e-14,-21.538472022894386,15.231133461034165,6.458742349771498,42.4,21.689875810805663,17.55307157301288
E06000012,159563.0,-0.16693251984285948,-1.1969778503469866,21793.0,25134.0,10699.0,8239.0,2748.0,837.0,194.0,63.0,69707.0,13.787657539655184,-0.384895792472243,-0.4206777525874926,0.5168751657061431,-0.525864386783544,-0.5536766105372741,-0.2502401644738388,1094.0,-0.6359644081846579,0.13376297831418485,0.7000300713703445,-0.23239116799528853,-0.6646845695877921,-0.5631458217308386,-1.8882133851256708,-0.42787481936408117,0.2714103566739543,-0.3783388559032234,0.012158474424591864,0.3027448645834971,0.013285358698917843,-0.340157065517917,0.22210571281316993,-0.0500978963201172,0.29880775617555577,-0.3314660811710005,0.005029658506838255,-3.701775855320775e-15,-6.594792486218124,29.46637284871526,-15.678715309060076,-53.2,13.787657539655184,28.66148284067464
E06000013,172292.0,-1.1425238352578662,-0.48157045429392764,19420.0,26503.0,11570.0,8983.0,2924.0,971.0,205.0,108.0,70684.0,15.671070043878997,-0.7723714991285863,-0.19231141240379276,0.7228626006594,-0.4358796796484766,-0.43461377197549883,0.0025044887186709357,1284.0,-0.5388838515704097,-0.8300502965785198,1.1112421185403396,0.4990948533729653,-0.26798195256921997,-0.39643546632735843,-1.769773162215865,1.1708369126485623,0.07545074416101687,-0.23990921339350524,0.7391929934265026,0.46107497052935853,-0.11844665547354612,-0.094564499789544,0.42393525140744,0.4135582791712691,0.25590548939676333,-0.006206749491507932,0.009325685339020973,-1.2591745868979149e-14,-11.929802631709535,24.38428136178358,-8.713211317904582,-35.699999999999996,15.671070043878997,23.50676592416292
E06000014,210618.0,-0.22972956411049447,-0.08009181520945832,25224.0,31228.0,12414.0,9977.0,3194.0,1152.0,267.0,96.0,83552.0,23.73966137747011,0.8585461662704449,-1.2749844909860106,-0.06369582797919789,-0.41338350286470976,-0.5239109008968303,-0.2502401644738388,1515.0,-0.2848295043459177,-0.13944297069042733,1.07707331747847,-0.5842724179310952,-0.6638984601156204,-0.39865741011754874,-1.1959889231811225,-0.40342785203068576,-0.6891048399478112,0.1543558651054403,-0.5088096626474424,1.0192811058177806,0.8738531611444716,0.6291669782604723,0.5958798015018315,-0.21589839455837267,0.40809504897388504,-0.13486518563462174,0.010197922681264383,-1.4669687086835892e-14,-23.99053200560091,12.895319128217963,10.844342249252147,84.1,23.73966137747011,11.690704659957959
E06000015,257302.0,0.7723583318411498,-0.10378944806791121,31578.0,33604.0,15537.0,13438.0,4983.0,2123.0,599.0,409.0,102271.0,44.69456125486782,0.8251832916295916,-0.45570124763780034,-0.4470809177563269,0.39647886135089627,1.1727345486084684,-0.21413378544633735,3131.0,-0.03159849156359698,0.035347493272221704,-0.2144514673795658,-0.3446424252177323,0.15904658044386094,0.443452612977887,1.085448468657783,-0.5217342317437994,-0.724689941742421,-0.46123403934925933,-0.8797390755815865,0.21170091091185467,-0.3672325071877904,0.060415468304130665,0.33533248438810753,-0.4972746696673076,0.08746936430183233,-0.3874201005626945,0.00620906775294709,-7.618977325841003e-15,-4.115002943194009,31.828602157057887,12.865959097809935,40.400000000000006,44.69456125486782,33.48980355573561
E06000016,354224.0,1.0343182615241961,1.636306947773809,36951.0,33618.0,19422.0,17970.0,8262.0,4422.0,1407.0,1073.0,123125.0,29.35995302407516,2.4145814687751694,-1.3341148136824277,-1.2489785161493252,5.773065112671169,0.13093471119293396,0.07471724677367372,6902.0,0.37275138086483234,-0.18487440312386283,-1.802179457129056,0.07285561166932537,1.364567186984369,2.1598852122659222,5.236189399114797,0.32276754768880395,-2.200971615504922,-1.7139381828419527,-1.5182783478556716,-1.7508094710472768,3.6650436697572153,-0.7221332910718978,1.1459351529176685,0.44876683423199043,-0.09194182920783128,-0.2655288719587511,0.001754762401899434,8.624160870147688e-16,8.99803046858588,44.319981489518156,-14.960028465442996,-33.800000000000004,29.35995302407516,55.92630485831421
E06000017,39927.0,-1.6145605648300918,0.5977244256727863,4111.0,6089.0,2217.0,1845.0,577.0,117.0,31.0,15.0,15002.0,10.01828336714504,-1.3175408954989727,-0.737207332343119,1.391580260947163,-0.525864386783544,-0.5536766105372741,-0.32245292252884156,163.0,-2.3882868577947862,-0.8482058063619333,1.9954306084516513,-0.6414832101791499,-0.5245471983376931,-0.8889336352167546,-3.048299620582809,1.0383071073541918,-0.4871389702982406,-1.573719699001047,1.819545583114668,0.6036696523501053,0.38866085210212226,1.2892480913974427,0.699520109013182,-0.4267456478505209,0.19559964259676035,0.6831942022711659,-0.007104884646838743,1.3016244241655856e-14,-37.32064022721508,0.19715592599909826,9.821127441145942,4981.4,10.01828336714504,-1.7057429582212293
E06000018,332900.0,0.9706973983771626,0.49109214660519057,45617.0,38283.0,18679.0,12803.0,6333.0,3108.0,789.0,519.0,126131.0,24.93241213577651,3.0981297334919664,-2.07508031377543,-1.424526506196106,0.12652473994569424,1.0536717100466928,-0.21413378544633735,4416.0,0.29421945486684176,1.3807496334268812,-0.9308714018046477,-0.61912715963527,-0.8807188240587326,0.7400576987092654,1.8929770590059711,-2.523205643737799,-1.8216810437968671,0.0505857091554133,-2.445785523363855,1.6274816870545403,0.8143260322514992,0.4752014139302023,0.07858348924473556,0.049258550706672496,0.04839100798885127,0.23205017956470425,0.00844490562346702,-1.235892047566337e-14,-12.28337031317556,24.047475384844404,0.8849367509321056,3.6999999999999997,24.93241213577651,24.303825096029946
E06000019,192801.0,-1.7114075380185456,-0.36473244495045204,22540.0,29968.0,11451.0,9772.0,3317.0,978.0,196.0,97.0,78319.0,15.0414157602917,-1.3385554504359807,-0.6187646876513807,1.364890407856542,-0.525864386783544,-0.583442320177718,-0.32245292252884156,1271.0,-0.39662750939302593,-0.49803732560722525,1.3310759942777972,-0.75410449923518,-0.3166594488823992,-0.5271038491717938,-2.8748534396088434,0.9967151641566749,-0.7302281442766546,-0.2815848111657378,0.8409925929086912,-0.30947114832020894,0.013684196593343972,0.46622167930730607,-0.05751972073009901,0.13868338273747532,0.16802822131869097,0.04615823797990724,-0.006783287087536986,1.739466079034149e-14,-21.179689473244565,15.572907083109826,-0.5314913228181251,-3.4000000000000004,15.0414157602917,16.670578216066875
E06000020,179854.0,-0.377572929116712,0.7844323286733297,16793.0,23691.0,11579.0,9372.0,3666.0,1097.0,273.0,137.0,66608.0,17.79220923638062,0.19724358522792992,0.056829728746553586,-0.14060059783974935,-0.18842173502704143,-0.19648809485194815,-0.28634654350134014,1507.0,-0.48455207629567915,-1.4055688403100959,0.5602815678062907,1.227049200729039,0.7309341444563682,-0.09557507230622173,0.3414497695409221,1.8482539365264659,0.555779700504779,-0.22419409762977496,0.28431321421155686,1.021006496520735,0.26679815320082834,0.5165191407480417,0.3598627940184629,0.004588803822740203,0.2001314161127262,0.1617340691978309,-0.022433369500918263,4.267733015362987e-14,-5.261120228532236,30.736819247560504,-12.944610011179883,-42.1,17.79220923638062,27.23145278167336
E06000021,256375.0,0.6515144235144903,-0.7431447615640531,35357.0,35631.0,17258.0,12549.0,4452.0,1610.0,423.0,295.0,107575.0,16.772306192101414,0.5645305154357976,-0.5029499815742426,-0.15368837456127096,-0.39088732608094295,0.6667174847209231,-0.178027406418836,2328.0,-0.03616372824315135,0.5416338468052178,-0.1389197142404323,0.2654245551452082,-0.6492479635706281,-0.1619729722423264,-0.08336490000226152,-0.9557301986484563,-0.03646188646395905,-0.140474055151373,-0.9614363959927335,0.7064066631919521,-0.5419366284744906,-0.5508913280505985,0.23301992889207665,-0.12425386833093008,-0.03319488714567664,0.012309590863958879,-0.014821003696566597,3.1276141125443034e-14,0.5902669282471673,36.310807683428955,-19.53850149132754,-53.800000000000004,16.772306192101414,35.938932738218476
